translon_id	classification	chrom	start	end	exonic_length	feature_mean	max_flank	upstream_mean	downstream_mean	conservation_specificity	has_cds_overlap	overlapping_genes
c17norep24	restricted_candidate	chr17	7688396	7688453	57	1.8507720232009888	0.30450668931007385	0.30450668931007385	-0.38657334446907043	1.5462653636932373	False	-1
c1riboseqorf228	restricted_candidate	chr1	173823921	173823975	54	1.5027409791946411	-0.004593340680003166	-0.004593340680003166	-0.3580133318901062	1.5073343515396118	False	-1
c14riboseqorf29	restricted_candidate	chr14	38208557	38209104	111	2.2710721492767334	0.7703199982643127	0.7703199982643127	0.6992066502571106	1.5007522106170654	False	-1
c3riboseqorf56	restricted_candidate	chr3	45594687	45594741	54	2.1571850776672363	0.862019956111908	0.862019956111908	0.0011632231762632728	1.2951650619506836	False	-1
c7riboseqorf79	restricted_candidate	chr7	91940881	91940941	60	2.052616834640503	0.766593337059021	0.766593337059021	0.15218666195869446	1.286023497581482	False	-1
c2norep38	restricted_candidate	chr2	41931816	41933356	204	2.2539706230163574	0.9802933931350708	0.5435400009155273	0.9802933931350708	1.2736772298812866	False	-1
c4norep106	restricted_candidate	chr4	102344779	102345076	297	1.6112592220306396	0.5193941593170166	0.22729334235191345	0.5193941593170166	1.091865062713623	False	-1
c21norep34	restricted_candidate	chr21	36699296	36699383	87	1.7271723747253418	0.6750866770744324	0.6750866770744324	0.07510668784379959	1.0520856380462646	False	-1
c20norep100	restricted_candidate	chr20	63572729	63573002	273	1.6271281242370605	0.5824999809265137	0.4236733019351959	0.5824999809265137	1.0446281433105469	False	-1
c17norep106	restricted_candidate	chr17	45060964	45061033	69	1.8048694133758545	0.8684664964675903	0.4450133144855499	0.8684664964675903	0.9364029169082642	False	-1
c2norep191	restricted_candidate	chr2	174483139	174486955	102	1.5663821697235107	0.663524866104126	0.663524866104126	0.14632000029087067	0.9028573036193848	False	-1
c17norep27	restricted_candidate	chr17	7915169	7915301	132	1.6386364698410034	0.7370799779891968	0.7370799779891968	0.5886332988739014	0.9015564918518066	False	-1
c2riboseqorf103	restricted_candidate	chr2	151410111	151410165	54	1.7441110610961914	0.8797532320022583	0.4817066490650177	0.8797532320022583	0.8643578290939331	False	-1
c19riboseqorf116	restricted_candidate	chr19	42325917	42325989	72	1.5472221374511719	0.6901999711990356	0.6901999711990356	0.567799985408783	0.8570221662521362	False	-1
c8norep51	restricted_candidate	chr8	42535225	42535279	54	1.6820555925369263	0.837773323059082	0.5938466787338257	0.837773323059082	0.8442822694778442	False	-1
c18riboseqorf59	restricted_candidate	chr18	67515387	67515483	96	1.566635251045227	0.7744066715240479	0.30076003074645996	0.7744066715240479	0.7922285795211792	False	-1
c1norep272	restricted_candidate	chr1	178726138	178726189	51	1.6931960582733154	0.901146650314331	0.901146650314331	0.1437133550643921	0.7920494079589844	False	-1
c7riboseqorf99	restricted_candidate	chr7	101217411	101217579	168	1.5711427927017212	0.8591933250427246	0.8591933250427246	0.5563733577728271	0.7119494676589966	False	-1
c2norep99	restricted_candidate	chr2	74969633	74969723	90	1.5511221885681152	0.9019132256507874	0.9019132256507874	0.21611331403255463	0.6492089629173279	False	-1
c4riboseqorf70	restricted_candidate	chr4	102344756	102345023	267	1.6295019388198853	0.9827517867088318	0.5715466737747192	0.9827517867088318	0.6467501521110535	False	-1
c22norep1	restricted_candidate	chr22	16614345	16614546	201						False	-1
c1norep114	regional_conservation	chr1	50968728	50968788	60	8.817617416381836	3.529726505279541	3.4039535522460938	3.529726505279541	5.287890911102295	False	-1
c9norep158	regional_conservation	chr9	134164497	134164557	60	7.178099632263184	2.2062268257141113	-4.40104866027832	2.2062268257141113	4.971872806549072	False	-1
c5norep86	regional_conservation	chr5	88905240	88943075	90	7.210065841674805	2.3548731803894043	2.3548731803894043	2.083980083465576	4.8551926612854	False	-1
c11norep148	regional_conservation	chr11	86956159	86956255	96	6.441208362579346	1.6158331632614136	1.6158331632614136	0.31003332138061523	4.825375080108643	False	-1
c13riboseqorf30	regional_conservation	chr13	48975931	48976012	81	6.252913475036621	1.9527798891067505	1.9504203796386719	1.9527798891067505	4.30013370513916	False	-1
c7norep54	regional_conservation	chr7	27188852	27188915	63	6.8740949630737305	2.8442599773406982	2.1978468894958496	2.8442599773406982	4.029834747314453	False	-1
c10norep100	regional_conservation	chr10	72088549	72088612	63	6.898268699645996	3.1678531169891357	2.5868465900421143	3.1678531169891357	3.7304155826568604	False	-1
c5riboseqorf78	regional_conservation	chr5	123512177	123512246	69	6.379579544067383	2.7517600059509277	2.1718733310699463	2.7517600059509277	3.627819538116455	False	-1
c2riboseqorf108	regional_conservation	chr2	159616486	159616657	171	8.179274559020996	4.651159763336182	4.651159763336182	4.181800365447998	3.5281147956848145	False	-1
c2norep175	regional_conservation	chr2	157257870	157257924	54	5.582519054412842	2.1333467960357666	1.7558866739273071	2.1333467960357666	3.449172258377075	False	-1
c17riboseqorf73	regional_conservation	chr17	39451191	39451245	54	5.711223125457764	2.3756134510040283	1.7416068315505981	2.3756134510040283	3.3356096744537354	False	-1
c14riboseqorf28	regional_conservation	chr14	37247117	37247216	99	6.663837909698486	3.497760057449341	1.0409133434295654	3.497760057449341	3.1660778522491455	False	-1
c10riboseqorf70	regional_conservation	chr10	86838876	86838966	90	5.70989990234375	2.552206516265869	2.552206516265869	2.099853277206421	3.157693386077881	False	-1
c16riboseqorf72	regional_conservation	chr16	54286253	54286307	54	6.581722259521484	3.5040934085845947	2.194913387298584	3.5040934085845947	3.0776288509368896	False	-1
c2norep62	regional_conservation	chr2	61538256	61538310	54	8.559833526611328	5.511380195617676	4.961060523986816	5.511380195617676	3.0484533309936523	False	-1
c2riboseqorf121	regional_conservation	chr2	173965178	173965412	234	7.973764896392822	4.959486484527588	4.127079963684082	4.959486484527588	3.0142784118652344	False	-1
c8riboseqorf113	regional_conservation	chr8	141254466	141254613	147	4.476319789886475	1.527646780014038	1.4755533933639526	1.527646780014038	2.9486730098724365	False	-1
c17norep121	regional_conservation	chr17	48615051	48615162	111	7.740935802459717	4.816633224487305	4.816633224487305	4.805027008056641	2.924302577972412	False	-1
c16riboseqorf87	regional_conservation	chr16	58025969	58026029	60	4.693483352661133	1.8080265522003174	1.4450474977493286	1.8080265522003174	2.8854568004608154	False	-1
c1riboseqorf77	regional_conservation	chr1	39409618	39409750	132	6.671151638031006	3.818793535232544	1.8680065870285034	3.818793535232544	2.852358102798462	False	-1
c1norep182	regional_conservation	chr1	116666631	116666739	108	4.165583610534668	1.3315333127975464	1.3315333127975464	1.219373345375061	2.834050178527832	False	-1
c21riboseqorf17	regional_conservation	chr21	42010291	42010384	93	7.3814616203308105	4.634639739990234	1.5349066257476807	4.634639739990234	2.746821880340576	False	-1
c21riboseqorf16	regional_conservation	chr21	39342958	39343099	141	6.355822563171387	3.6175529956817627	2.998960018157959	3.6175529956817627	2.738269567489624	False	-1
c14riboseqorf94	regional_conservation	chr14	85530428	85530503	75	4.939919948577881	2.241926670074463	2.241926670074463	0.7527733445167542	2.697993278503418	False	-1
c6riboseqorf59	regional_conservation	chr6	35259753	35281063	96	6.845613956451416	4.1518402099609375	3.811386823654175	4.1518402099609375	2.6937737464904785	False	-1
c15riboseqorf62	regional_conservation	chr15	73926613	73926670	57	6.1758599281311035	3.584526300430298	3.584526300430298	2.8835067749023438	2.5913336277008057	False	-1
c10norep84	regional_conservation	chr10	60140623	60140848	225	3.8770179748535156	1.2908532619476318	1.2908532619476318	0.9629600048065186	2.586164712905884	False	-1
c3norep156	regional_conservation	chr3	129183854	129183908	54	6.134055137634277	3.5773863792419434	1.8666415214538574	3.5773863792419434	2.556668758392334	False	-1
c11riboseqorf47	regional_conservation	chr11	46277817	46277868	51	5.623295307159424	3.0926265716552734	3.0926265716552734	2.1605868339538574	2.5306687355041504	False	-1
c10riboseqorf28	regional_conservation	chr10	33334597	33334663	66	5.06516695022583	2.5952932834625244	2.255518674850464	2.5952932834625244	2.4698736667633057	False	-1
c6norep88	regional_conservation	chr6	31660312	31660369	57	3.5464000701904297	1.10642671585083	0.8864397406578064	1.10642671585083	2.4399733543395996	False	-1
c8riboseqorf31	regional_conservation	chr8	28502747	28502867	120	5.392374515533447	2.9847335815429688	2.9847335815429688	2.4411535263061523	2.4076409339904785	False	-1
c1norep326	regional_conservation	chr1	212035683	212035794	111	4.906675815582275	2.4991400241851807	2.4991400241851807	1.7496000528335571	2.4075357913970947	False	-1
c4norep159	regional_conservation	chr4	150582152	150582263	111	4.305855751037598	1.9154064655303955	1.9154064655303955	1.8968534469604492	2.390449285507202	False	-1
c17norep25	regional_conservation	chr17	7839995	7844928	57	5.718175888061523	3.331826686859131	2.319326639175415	3.331826686859131	2.3863492012023926	False	-1
c9norep111	regional_conservation	chr9	122204132	122204321	189	5.428370475769043	3.051006555557251	3.051006555557251	0.23627334833145142	2.377363920211792	False	-1
c8riboseqorf50	regional_conservation	chr8	56211129	56211261	132	7.7194929122924805	5.358999729156494	3.4143002033233643	5.358999729156494	2.3604931831359863	False	-1
c10riboseqorf59	regional_conservation	chr10	73810897	73811581	114	4.1430439949035645	1.7934733629226685	0.9701133370399475	1.7934733629226685	2.3495707511901855	False	-1
c3norep209	regional_conservation	chr3	171460320	171460395	75	6.7971601486206055	4.493160247802734	4.493160247802734	2.678713083267212	2.303999900817871	False	-1
c15riboseqorf98	regional_conservation	chr15	98649282	98649369	87	3.63485050201416	1.3827534914016724	1.3827534914016724	0.7158399820327759	2.2520971298217773	False	-1
c7norep47	regional_conservation	chr7	27152579	27152681	102	8.940914154052734	6.702332973480225	4.048460483551025	6.702332973480225	2.2385811805725098	False	-1
c6riboseqorf101	regional_conservation	chr6	101399047	101399098	51	7.252823829650879	5.0258870124816895	1.742425560951233	5.0258870124816895	2.2269368171691895	False	-1
c3norep88	regional_conservation	chr3	61561592	61561670	78	5.8576154708862305	3.632833242416382	3.3828201293945312	3.632833242416382	2.2247822284698486	False	-1
c15norep17	regional_conservation	chr15	37100344	37100458	114	6.019192218780518	3.805340051651001	3.7757935523986816	3.805340051651001	2.2138521671295166	False	-1
c16riboseqorf108	regional_conservation	chr16	70398784	70398952	168	3.6161723136901855	1.4283866882324219	1.4283866882324219	0.9905532598495483	2.1877856254577637	False	-1
c9riboseqorf71	regional_conservation	chr9	120793087	120793252	165	4.19821834564209	2.0237598419189453	2.0237598419189453	0.9050400853157043	2.1744585037231445	False	-1
c15norep119	regional_conservation	chr15	92897775	92897880	105	5.363894939422607	3.189573049545288	3.189573049545288	2.9793665409088135	2.1743218898773193	False	-1
c2riboseqorf158	regional_conservation	chr2	202912285	202917918	81	4.20211124420166	2.0689468383789062	0.5167532563209534	2.0689468383789062	2.133164405822754	False	-1
c8riboseqorf45	regional_conservation	chr8	42472540	42472615	75	5.231240272521973	3.111933469772339	0.23244664072990417	3.111933469772339	2.119306802749634	False	-1
c15riboseqorf55	regional_conservation	chr15	72117827	72117902	75	3.807413339614868	1.6891067028045654	0.7803332805633545	1.6891067028045654	2.1183066368103027	False	-1
c8riboseqorf32	regional_conservation	chr8	28701519	28701648	129	3.4336977005004883	1.3281934261322021	1.3281934261322021	1.097166657447815	2.105504274368286	False	-1
c10riboseqorf69	regional_conservation	chr10	86756899	86838910	66	5.440348148345947	3.3631532192230225	2.028640031814575	3.3631532192230225	2.077194929122925	False	-1
c7norep226	regional_conservation	chr7	151062957	151063050	93	3.8600540161132812	1.879853367805481	0.02303335815668106	1.879853367805481	1.9802006483078003	False	-1
c17riboseqorf13	regional_conservation	chr17	2593954	2638121	75	6.267479419708252	4.3059000968933105	4.3059000968933105	3.406440258026123	1.9615793228149414	False	-1
c1riboseqorf182	regional_conservation	chr1	153728075	153728129	54	3.8064441680908203	1.8799400329589844	1.8271334171295166	1.8799400329589844	1.926504135131836	False	-1
c14riboseqorf100	regional_conservation	chr14	91510260	91510359	99	4.612373352050781	2.6907200813293457	2.6907200813293457	0.7957133650779724	1.9216532707214355	False	-1
c1norep61	regional_conservation	chr1	27558867	27603548	168	5.266101360321045	3.3464932441711426	3.3464932441711426	2.264119863510132	1.9196081161499023	False	-1
c15norep107	regional_conservation	chr15	79923576	79923735	159	3.9417049884796143	2.0380465984344482	1.3065667152404785	2.0380465984344482	1.903658390045166	False	-1
c19norep5	regional_conservation	chr19	1205789	1205846	57	4.135490894317627	2.233593225479126	2.233593225479126	1.5260199308395386	1.901897668838501	False	-1
c3norep96	regional_conservation	chr3	66038480	66038546	66	4.316000461578369	2.417140007019043	1.8487601280212402	2.417140007019043	1.8988604545593262	False	-1
c6riboseqorf110	regional_conservation	chr6	111503301	111503361	60	3.4364500045776367	1.5417267084121704	1.0515133142471313	1.5417267084121704	1.8947232961654663	False	-1
c9riboseqorf50	regional_conservation	chr9	86947059	86947134	75	2.9804935455322266	1.0872533321380615	1.0872533321380615	0.7508400082588196	1.893240213394165	False	-1
c10riboseqorf62	regional_conservation	chr10	74826575	74838730	258	6.001492977142334	4.1091461181640625	4.1091461181640625	2.665006399154663	1.8923468589782715	False	-1
c6riboseqorf106	regional_conservation	chr6	109094387	109094471	84	2.9926905632019043	1.1230264902114868	1.1230264902114868	1.0493667125701904	1.8696640729904175	False	-1
c11riboseqorf89	regional_conservation	chr11	65613870	65613930	60	5.152533531188965	3.2943198680877686	2.6302599906921387	3.2943198680877686	1.8582136631011963	False	-1
c2norep257	regional_conservation	chr2	216371595	216371667	72	5.055375099182129	3.2027604579925537	2.6565001010894775	3.2027604579925537	1.8526146411895752	False	-1
c19riboseqorf145	regional_conservation	chr19	50376775	50377598	63	4.898428440093994	3.062673330307007	2.6902668476104736	3.062673330307007	1.8357551097869873	False	-1
c16riboseqorf57	regional_conservation	chr16	30658621	30658771	150	5.0264201164245605	3.1964669227600098	3.069693088531494	3.1964669227600098	1.8299531936645508	False	-1
cXnorep78	regional_conservation	chrX	108722412	108722481	69	3.3997104167938232	1.5737800598144531	1.5737800598144531	1.534266710281372	1.8259303569793701	False	-1
c17norep139	regional_conservation	chr17	59892857	59892908	51	3.217529296875	1.391700029373169	1.391700029373169	1.2177348136901855	1.825829267501831	False	-1
c17norep67	regional_conservation	chr17	31321565	31321673	108	4.2000555992126465	2.3867135047912598	2.3867135047912598	1.6821999549865723	1.8133420944213867	False	-1
c5norep183	regional_conservation	chr5	156327029	156327113	84	6.734261512756348	4.929806709289551	4.929806709289551	1.751746416091919	1.8044548034667969	False	-1
c2riboseqorf26	regional_conservation	chr2	39437218	39437278	60	3.8151001930236816	2.0307533740997314	1.7769999504089355	2.0307533740997314	1.7843468189239502	False	-1
c4norep144	regional_conservation	chr4	140381277	140381352	75	5.194000244140625	3.415713310241699	3.0424532890319824	3.415713310241699	1.7782869338989258	False	-1
c14riboseqorf119	regional_conservation	chr14	103385836	103385887	51	3.481804370880127	1.7120133638381958	1.7120133638381958	1.5870599746704102	1.7697910070419312	False	-1
c2norep90	regional_conservation	chr2	73986078	73986129	51	4.485470771789551	2.7156801223754883	2.7088801860809326	2.7156801223754883	1.7697906494140625	False	-1
c8riboseqorf118	regional_conservation	chr8	144104624	144104747	123	4.673536777496338	2.9165799617767334	2.9165799617767334	0.6499600410461426	1.7569568157196045	False	-1
c11norep195	regional_conservation	chr11	120336716	120336797	81	3.0788891315460205	1.3272334337234497	1.3272334337234497	0.6032199859619141	1.7516556978225708	False	-1
c16riboseqorf80	regional_conservation	chr16	57186339	57186483	144	4.133152961730957	2.3834197521209717	2.3834197521209717	1.8738598823547363	1.7497332096099854	False	-1
c22riboseqorf40	regional_conservation	chr22	38700353	38700404	51	2.8865294456481934	1.1412866115570068	1.0181599855422974	1.1412866115570068	1.7452428340911865	False	-1
c3norep63	regional_conservation	chr3	50155263	50155335	72	4.669486045837402	2.9351799488067627	1.7868733406066895	2.9351799488067627	1.7343060970306396	False	-1
c5riboseqorf57	regional_conservation	chr5	87267983	87268064	81	4.3775553703308105	2.6456854343414307	1.1586931943893433	2.6456854343414307	1.7318699359893799	False	-1
c2norep134	regional_conservation	chr2	111884151	111884208	57	2.736175298690796	1.0052067041397095	-1.3739467859268188	1.0052067041397095	1.7309685945510864	False	-1
c20norep21	regional_conservation	chr20	9838812	9839013	201	3.302164077758789	1.5971866846084595	1.5971866846084595	1.0180598497390747	1.7049773931503296	False	-1
c20riboseqorf47	regional_conservation	chr20	45934707	45937464	144	5.481847286224365	3.7895731925964355	3.761460065841675	3.7895731925964355	1.6922740936279297	False	-1
c13norep64	regional_conservation	chr13	106535381	106535444	63	3.520428419113159	1.8281863927841187	1.635446548461914	1.8281863927841187	1.6922420263290405	False	-1
c12riboseqorf2	regional_conservation	chr12	753222	753300	78	3.4504106044769287	1.758246660232544	1.3850733041763306	1.758246660232544	1.6921639442443848	False	-1
c12norep4	regional_conservation	chr12	2053321	2053402	81	5.099394798278809	3.4188668727874756	3.4188668727874756	3.007159948348999	1.680527925491333	False	-1
c3norep30	regional_conservation	chr3	25428528	25428591	63	8.911652565002441	7.241433143615723	4.403393745422363	7.241433143615723	1.6702194213867188	False	-1
c6riboseqorf128	regional_conservation	chr6	136289741	136289801	60	4.3573832511901855	2.6896932125091553	2.2119665145874023	2.6896932125091553	1.6676900386810303	False	-1
c3riboseqorf114	regional_conservation	chr3	112640559	112640622	63	2.8892223834991455	1.222666621208191	1.222666621208191	0.9093332886695862	1.6665557622909546	False	-1
c16norep131	regional_conservation	chr16	87492527	87492641	114	4.0054826736450195	2.346986770629883	2.346986770629883	1.9348864555358887	1.6584959030151367	False	-1
c5norep21	regional_conservation	chr5	24644712	24644808	96	5.107239246368408	3.449953556060791	2.717522144317627	3.449953556060791	1.6572856903076172	False	-1
c1norep286	regional_conservation	chr1	193186348	193186399	51	4.631627559661865	2.981513261795044	2.981513261795044	2.86897349357605	1.6501142978668213	False	-1
c5riboseqorf25	regional_conservation	chr5	52787971	52788028	57	4.546841621398926	2.9158265590667725	0.909186601638794	2.9158265590667725	1.6310150623321533	False	-1
c16norep10	regional_conservation	chr16	1534035	1534101	66	3.2993335723876953	1.671760082244873	0.43873330950737	1.671760082244873	1.6275734901428223	False	-1
c2norep167	regional_conservation	chr2	148342310	148458311	135	4.898674488067627	3.275573253631592	2.695073127746582	3.275573253631592	1.6231012344360352	False	-1
c4norep181	regional_conservation	chr4	159103384	159103507	123	2.6564228534698486	1.035499930381775	1.035499930381775	0.9094733595848083	1.6209229230880737	False	-1
c1norep166	regional_conservation	chr1	108885308	108885374	66	4.587166786193848	2.9748401641845703	1.0412887334823608	2.9748401641845703	1.6123266220092773	False	-1
c5riboseqorf114	regional_conservation	chr5	159209353	159209449	96	3.774770736694336	2.1667799949645996	2.1667799949645996	1.3243733644485474	1.6079907417297363	False	-1
c12riboseqorf61	regional_conservation	chr12	53232096	53232168	72	6.786416530609131	5.20656681060791	5.20656681060791	3.5420801639556885	1.5798497200012207	False	-1
c2norep54	regional_conservation	chr2	51032051	51032306	255	4.6243743896484375	3.0725536346435547	1.8267735242843628	3.0725536346435547	1.5518207550048828	False	-1
c20riboseqorf9	regional_conservation	chr20	3149113	3149209	96	3.2974894046783447	1.7667734622955322	1.548153281211853	1.7667734622955322	1.5307159423828125	False	-1
c19riboseqorf6	regional_conservation	chr19	1881713	1885392	132	3.1666440963745117	1.6447666883468628	1.6447666883468628	1.3769466876983643	1.521877408027649	False	-1
c7norep158	regional_conservation	chr7	106660999	106661113	114	5.364350318908691	3.8436734676361084	3.8436734676361084	2.4238595962524414	1.520676851272583	False	-1
c3riboseqorf14	regional_conservation	chr3	12663905	12663959	54	5.241926193237305	3.734673261642456	2.6183133125305176	3.734673261642456	1.5072529315948486	False	-1
c7norep51	regional_conservation	chr7	27179748	27179910	162	5.0782341957092285	3.5715463161468506	3.5247802734375	3.5715463161468506	1.506687879562378	False	-1
c4norep89	regional_conservation	chr4	78646032	78646110	78	2.729717969894409	1.2430267333984375	0.21852000057697296	1.2430267333984375	1.4866912364959717	False	-1
c2riboseqorf38	regional_conservation	chr2	60553413	60553467	54	9.018184661865234	7.534400463104248	5.008546829223633	7.534400463104248	1.4837841987609863	False	-1
c5riboseqorf13	regional_conservation	chr5	14871634	14871766	132	4.120265007019043	2.643540143966675	2.643540143966675	2.051506757736206	1.4767248630523682	False	-1
c1norep141	regional_conservation	chr1	82215592	82215760	168	2.7457621097564697	1.2797067165374756	0.38988006114959717	1.2797067165374756	1.4660553932189941	False	-1
c12riboseqorf109	regional_conservation	chr12	93378053	93378116	63	2.4674603939056396	1.0069465637207031	0.4753466248512268	1.0069465637207031	1.4605138301849365	False	-1
c11norep219	regional_conservation	chr11	134223965	134224308	57	2.692070245742798	1.2380132675170898	-0.07233333587646484	1.2380132675170898	1.454056978225708	False	-1
c15riboseqorf31	regional_conservation	chr15	47718653	47718761	108	3.590611219406128	2.1367135047912598	1.3433799743652344	2.1367135047912598	1.4538977146148682	False	-1
c2norep183	regional_conservation	chr2	168802485	168802536	51	4.047059059143066	2.600766658782959	1.0392800569534302	2.600766658782959	1.4462924003601074	False	-1
c1riboseqorf124	regional_conservation	chr1	93346149	93346221	72	3.564694404602051	2.1244001388549805	2.1244001388549805	1.3245601654052734	1.4402942657470703	False	-1
c11norep186	regional_conservation	chr11	118925203	118925287	84	3.936952590942383	2.497173309326172	1.3831732273101807	2.497173309326172	1.439779281616211	False	-1
c15riboseqorf79	regional_conservation	chr15	81001167	81001221	54	3.475203275680542	2.0437800884246826	2.0437800884246826	1.8239668607711792	1.4314231872558594	False	-1
c5riboseqorf62	regional_conservation	chr5	93584020	93584074	54	6.115241050720215	4.690200328826904	4.690200328826904	2.6785664558410645	1.4250407218933105	False	-1
c5riboseqorf139	regional_conservation	chr5	180808730	180808895	165	3.307969808578491	1.8850468397140503	1.8850468397140503	1.6858134269714355	1.422922968864441	False	-1
c10norep106	regional_conservation	chr10	74826454	74826661	207	6.031097412109375	4.612026691436768	4.347179889678955	4.612026691436768	1.4190707206726074	False	-1
c11riboseqorf27	regional_conservation	chr11	18322393	18322669	276	3.2503371238708496	1.8338401317596436	1.8338401317596436	0.8826000094413757	1.416496992111206	False	-1
c17riboseqorf79	regional_conservation	chr17	40818125	40818188	63	3.5822858810424805	2.1686999797821045	2.1686999797821045	1.0459301471710205	1.413585901260376	False	-1
c3riboseqorf80	regional_conservation	chr3	52969226	53046065	282	4.109408378601074	2.7134532928466797	2.454073190689087	2.7134532928466797	1.3959550857543945	False	-1
c8riboseqorf48	regional_conservation	chr8	52714333	52714456	123	2.5259106159210205	1.1302067041397095	0.7750399708747864	1.1302067041397095	1.395703911781311	False	-1
c3riboseqorf49	regional_conservation	chr3	43286585	43299783	120	3.342708110809326	1.9474869966506958	1.0720000267028809	1.9474869966506958	1.3952211141586304	False	-1
c7norep72	regional_conservation	chr7	37448902	37448959	57	4.691455841064453	3.2997734546661377	3.2997734546661377	1.514280080795288	1.3916823863983154	False	-1
c15riboseqorf86	regional_conservation	chr15	84982065	84982116	51	2.6566665172576904	1.2653266191482544	1.0743000507354736	1.2653266191482544	1.391339898109436	False	-1
c3norep122	regional_conservation	chr3	99638537	99675718	186	2.8887689113616943	1.4976800680160522	1.4976800680160522	1.4003267288208008	1.391088843345642	False	-1
c10riboseqorf83	regional_conservation	chr10	96130075	96132617	75	4.741720199584961	3.357586622238159	3.357586622238159	1.8494867086410522	1.3841335773468018	False	-1
c13norep52	regional_conservation	chr13	98143247	98143319	72	3.46476411819458	2.085739850997925	1.3842066526412964	2.085739850997925	1.3790242671966553	False	-1
c2riboseqorf144	regional_conservation	chr2	190649234	190649360	126	3.342405080795288	1.9702866077423096	1.9702866077423096	1.9438732862472534	1.3721184730529785	False	-1
c2norep18	regional_conservation	chr2	24564335	24584509	129	2.7295892238616943	1.361366629600525	0.7212667465209961	1.361366629600525	1.3682225942611694	False	-1
c1norep33	regional_conservation	chr1	9910253	9910319	66	4.690711975097656	3.325833320617676	0.5297732949256897	3.325833320617676	1.3648786544799805	False	-1
c2riboseqorf43	regional_conservation	chr2	62705933	62706050	117	4.882623672485352	3.5183537006378174	3.2441108226776123	3.5183537006378174	1.3642699718475342	False	-1
