chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	transcript_id	region_length	strand_right	gene_name	cds_frame	cds_start_pos	translated_matched_frame_score	translated_max_frame_score	translated_start_region_score	translated_window_max_score	translated_phylop_mean	translated_frame	translated_length	untranslated_matched_frame_score	untranslated_max_frame_score	untranslated_start_region_score	untranslated_window_max_score	untranslated_phylop_mean	untranslated_frame	untranslated_length	genome_coords	translated_block_starts	translated_block_ends	untranslated_block_starts	untranslated_block_ends
1	26946181	26946202	ENST00000321265_1	21	+	26946181	26946202	0	1	21	0	ENST00000321265	21	+	NUDC	0	26921848	-20.23785679397129	-20.23785679397129	-20.16653302113215		0.6231904774904251	1	21	-17.014761939304744	-15.338814611951026	-39.41006641387939	-0.9070000648498535	0.27957072523254045	1	669	1:26946202-26921848	[26946181]	[26946202]	[26946202]	[26946871]
1	27822329	27822458	ENST00000373943_1	129	+	27822329	27822458	0	1	129	0	ENST00000373943	129	+	STX12	0	27773307	-17.708503809548162	-12.638674328493517	-16.11073327064514	-3.3434999763965605	3.2047674243822115	1	129	-19.11372928331165	-19.11372928331165	-16.04340009689331	-1.617249958217144	1.8403673352005385	3	1985	1:27822458-27773307	[27822329]	[27822458]	[27822458]	[27824443]
1	28280802	28280985	ENST00000253063_1	183	+	28280802	28280985	0	1	183	0	ENST00000253063	183	+	SESN2	0	28259847	-21.150672376644415	-20.246049203833596	-40.61700093746185	-8.432900160551071	1.0272349665664096	1	183	-23.78606619458481	-23.75019734567404	-6.518599891662598	-0.7257000207901001	1.0226334664170726	1	1506	1:28280985-28259847	[28280802]	[28280985]	[28280985]	[28282491]
1	32195195	32195303	ENST00000373610_1	108	+	32195195	32195303	0	1	108	0	ENST00000373610	108	+	TXLNA	0	32180345	-12.155888974114701	-12.155888974114701	-17.131199995676678	-0.3892999172210693	1.7281759263682437	1	108	-21.743285023322663	-21.57004925752587	-19.84506711959839	-1.539399952441454	0.9774061031623961	1	2982	1:32195303-32180345	[32195195]	[32195303]	[32195303]	[32198285]
1	32231196	32231238	ENST00000677711_1	42	+	32231196	32231238	0	1	42	0	ENST00000677711	42	+	EIF3I	0	32222441	-10.144800090789795	-10.144800090789795	-14.97440013885498	-2.9015000661214194	0.36178571622197825	1	42	-10.996344412697686	-8.881885622947639	NaN	-0.5723999738693237	0.33454728010043844	1	366	1:32231238-32222441	[32231196]	[32231238]	[32231238]	[32231604]
1	32333044	32333152	ENST00000373548_1	108	+	32333044	32333152	0	1	108	0	ENST00000373548	108	+	HDAC1	0	32292169	-14.095110892421669	-12.964472268190649	-20.01506655216217	-2.9618000358343126	3.495814820975755	1	108	-18.782552769698423	-18.782552769698423	-5.922933355967204	-4.624300049245358	1.7640864968308216	1	474	1:32333152-32292169	[32333044]	[32333152]	[32333152]	[32333626]
1	36304017	36304077	ENST00000354618_1	60	+	36304017	36304077	0	1	60	0	ENST00000354618	60	+	THRAP3	0	36282563	-11.218199789524078	-10.527216470241546	-7.913799858093261	-8.784599781036377	2.557083339430392	1	60	-13.568239110067953	-11.151542958064237	-2.5306666413942973	0.2362999975681305	3.8173632847941916	3	1280	1:36304077-36282563	[36304017]	[36304077]	[36304077]	[36305357]
1	37708366	37708396	ENST00000373055_1	30	+	37708366	37708396	0	1	30	0	ENST00000373055	30	+	CDCA8	0	37692690	-18.81406693061193	-12.779099992662669	-17.467533691724142	-18.81406693061193	0.17019999213516712	1	30	-19.23194885179856	-19.23194885179856	-7.669066778818766	-2.871299982070923	0.2626296281458862	1	1323	1:37708396-37692690	[37708366]	[37708396]	[37708396]	[37709719]
1	39034496	39034526	ENST00000372969_1	30	+	39034496	39034526	0	1	30	0	ENST00000372969	30	+	NDUFS5	0	39028724	-18.1409000625213	-18.1409000625213	-20.734800243377684	-18.1409000625213	0.7647999916225672	1	30	-23.899606894911006	-21.42498889799868	-15.100799417495727	-13.92749981880188	1.0267191158523887	3	89	1:39034526-39028724	[39034496]	[39034526]	[39034526]	[39034615]
1	40071533	40071632	ENST00000372805_1	99	+	40071533	40071632	0	1	99	0	ENST00000372805	99	+	CAP1	0	40059346	-8.615141336363976	-8.129969582413182	-9.56693337758382	-5.906499755382538	4.277484859255227	1	99	-16.04163971157912	-15.483462989734814	1.0845999717712402	0.6288000226020813	2.5985247967471388	3	1016	1:40071632-40059346	[40071533]	[40071632]	[40071632]	[40072648]
1	40770828	40771101	ENST00000447388_1	273	+	40770828	40771101	0	1	273	0	ENST00000447388	273	+	NFYC	0	40738843	-10.484670346500454	-10.100348008857978	-11.823600006103515	0.34489989280700684	3.7236300249389567	1	273	-22.322078010541404	-19.435053734368537	-8.394133212169011	-3.742800158262253	1.9108645398124766	2	502	1:40771101-40738843	[40770828]	[40771101]	[40771101]	[40771603]
1	42667419	42676613	ENST00000304979_1	51	+	42667419	42676613	0	2	21,30	0,9164	ENST00000304979	9194	+	PPIH	0	42658446	-18.76300016471318	-17.426857448759534	-17.923000073432924	-15.883100152015686	1.482952373723189	1	42	-19.83333217067094	-19.273242548869995	-15.619199562072755	4.605999946594238	0.1303083927012741	1	9318	1:42676613-42658446	[42667419, 42667419]	[42667440, 42667440]	[42667440]	[42676758]
1	42701015	42701985	ENST00000321358_1	36	+	42701015	42701985	0	2	31,5	0,965	ENST00000321358	970	+	YBX1	0	42682565	-2.6645160798103578	2.7391611991390103	-7.495399856567383	-1.5930999755859374	6.080387036646566	3	62	-15.276807334915896	-14.123470010197117	-29.03613386154175	6.455499947071075	0.47572584530734024	3	2759	1:42701985-42682565	[42701015, 42701015]	[42701046, 42701046]	[42701046]	[42703805]
1	43363129	43363168	ENST00000310955_1	39	+	43363129	43363168	0	1	39	0	ENST00000310955	39	+	CDC20	0	43359215	-24.66623094907174	-24.66623094907174	-14.991800057888032	-27.0451001505057	1.6037435757999237	1	39	-4.39830002784729	-4.39830002784729	-5.365933402379354	-5.177631629140754	1.5252857365778514	3	35	1:43363168-43359215	[43363129]	[43363168]	[43363168]	[43363203]
1	43978007	43978274	ENST00000472174_1	267	+	43978007	43978274	0	1	267	0	ENST00000472174	267	+	ATP6V0B	0	43975040	-18.022812693529808	-15.548876369937082	-11.118066438039143	-6.5849999487400055	2.272958804232379	1	267	-37.206047693888344	-15.773428746632167	-40.23966687520345		3.0692857062178	1	21	1:43978274-43975040	[43978007]	[43978274]	[43978274]	[43978295]
1	44220618	44220654	ENST00000372289_1	36	+	44220618	44220654	0	1	36	0	ENST00000372289	36	+	DMAP1	0	44213753	-26.0452498793602	-21.069277743498485	-35.34499998092652	-26.635199856758117	1.6943333565464451	1	36	-11.699736654758453	-11.520789020939878	-7.789999751249949		2.965421083726381	2	19	1:44220654-44213753	[44220618]	[44220654]	[44220654]	[44220673]
1	44778685	44778712	ENST00000396651_1	27	+	44778685	44778712	0	1	27	0	ENST00000396651	27	+	RPS8	0	44775596	-23.472925857261377	-18.934777796268463	-29.35153299967448		0.5817036781873968	1	27	-20.971208994068316	-15.586358173569636	-11.861800265312194	-18.520199823379517	0.49652238765648055	2	67	1:44778712-44775596	[44778685]	[44778712]	[44778712]	[44778779]
1	45015498	45015528	ENST00000246337_1	30	+	45015498	45015528	0	1	30	0	ENST00000246337	30	+	UROD	0	45012265	-25.960599613189697	-25.960599613189697	-19.324799728393554	-25.960599613189697	0.29043333356579143	1	30	-23.09840414625533	-16.096063771146408	-17.14500022729238	-17.393899619579315	2.6675532261266355	3	47	1:45015528-45012265	[45015498]	[45015528]	[45015528]	[45015575]
1	45618141	45618261	ENST00000350030_1	120	+	45618141	45618261	0	1	120	0	ENST00000350030	120	+	NASP	0	45584146	-8.770224787294865	-8.770224787294865	-15.958599734306336	1.2732000023126602	5.918016656053563	1	120	-28.280780532828196	-26.206883967207045	-19.508333587646483	-14.216200160980225	1.1816693089903874	3	632	1:45618261-45584146	[45618141]	[45618261]	[45618261]	[45618893]
1	46316584	46316722	ENST00000311672_1	138	+	46316584	46316722	0	1	138	0	ENST00000311672	138	+	UQCRH	0	46303766	-14.019115951614104	-14.019115951614104	-15.21999994913737	-7.936099934577942	1.2595434791907885	1	138	-21.116814957724678	-21.116814957724678	-15.401733430226644	-19.058166615168254	1.9890000048800613	1	54	1:46316722-46303766	[46316584]	[46316722]	[46316722]	[46316776]
1	47376745	47376751	ENST00000371873_1	6	+	47376745	47376751	0	1	6	0	ENST00000371873	6	+	CMPK1	0	47333945	-14.318999608357748	-14.318999608357748			1.0694999794165294	1	6	-21.984631253720416	-21.984631253720416	-6.192200120290121	6.405700075626373	1.8716058552196873	1	2088	1:47376751-47333945	[47376745]	[47376751]	[47376751]	[47378839]
1	52086758	52086854	ENST00000313334_1	96	+	52086758	52086854	0	1	96	0	ENST00000313334	96	+	BTF3L4	0	52059847	-10.936885221550861	-5.251906244782731	-10.944333267211913	-5.364899921417236	5.495104153330128	1	96	-20.703087540436808	-20.164599636939776	-3.5026667137940724	1.6587499976158142	1.3510409728579875	2	3862	1:52086854-52059847	[52086758]	[52086854]	[52086854]	[52090716]
1	52416690	52416735	ENST00000257181_1	45	+	52416690	52416735	0	1	45	0	ENST00000257181	45	+	PRPF38A	0	52404749	-28.062199751536053	-26.197911210854848	-29.018599700927734	-26.35299983024597	1.2738666649881958	1	45	-20.007222651453713	-20.007222651453713	-28.092799854278564	2.431999921798706	0.2779108215726589	1	4101	1:52416735-52404749	[52416690]	[52416735]	[52416735]	[52420836]
1	54218249	54218273	ENST00000360840_1	24	+	54218249	54218273	0	1	24	0	ENST00000360840	24	+	MRPL37	0	54200243	-18.753916521867115	-18.753916521867115	-20.261199506123862		0.24558333129486223	1	24	-23.821681761233645	-23.821681761233645	-41.34419975280762	-7.916599893569947	-0.5191272814842788	3	110	1:54218273-54200243	[54218249]	[54218273]	[54218273]	[54218383]
1	54741513	54741798	ENST00000371281_1	285	+	54741513	54741798	0	1	285	0	ENST00000371281	285	+	TTC4	0	54715908	-26.255463254530177	-21.157407028424114	-45.457400703430174	-10.340399885177613	0.08784561417425019	1	285	-25.421717159770974	-23.93246962286741	-14.743933296203613	-10.425200176239013	-0.026192084374665192	2	859	1:54741798-54715908	[54741513]	[54741798]	[54741798]	[54742657]
1	62450981	62451062	ENST00000339950_1	81	+	62450981	62451062	0	1	81	0	ENST00000339950	81	+	USP1	0	62439867	-18.28317258350643	-14.928506177148702	-7.909933398167293	-12.04273331463337	2.4479506142138514	1	81	-16.49750671176255	-15.929376053626365	-17.43473300933838	-1.4634999990463258	3.0152830216486692	2	742	1:62451062-62439867	[62450981]	[62451062]	[62451062]	[62451804]
1	66984900	66984948	ENST00000401041_1	48	+	66984900	66984948	0	1	48	0	ENST00000401041	48	+	MIER1	0	66925028	-14.74743751436472	-13.656312565008799	-22.146599674224852	-10.623400127887725	3.0959166982211173	1	48	-19.31968546139311	-18.59786788193831	-4.995666535695394	2.0697999730706216	2.2563284019421794	3	3671	1:66984948-66925028	[66984900]	[66984948]	[66984948]	[66988619]
1	70250805	70250871	ENST00000370949_1	66	+	70250805	70250871	0	1	66	0	ENST00000370949	66	+	SRSF11	0	70221636	-13.187772718342869	-13.187772718342869	-18.579600238800047	-0.364499831199646	1.7695757553094265	1	66	-15.266208605765675	-15.266208605765675	-8.028600215911865	4.859399938583374	2.835158645914136	1	2181	1:70250871-70221636	[70250805]	[70250871]	[70250871]	[70253052]
1	84497470	84497527	ENST00000370654_1	57	+	84497470	84497527	0	1	57	0	ENST00000370654	57	+	RPF1	0	84479281	-31.31945594988371	-21.901105274233903	-33.55400021870931	-25.368099689483643	0.9162807094684818	1	57	-26.614376929427188	-24.410499983895434	-17.336733277638753	-10.244600105285645	0.3007214111791484	1	825	1:84497527-84479281	[84497470]	[84497527]	[84497527]	[84498352]
1	85583042	85583072	ENST00000451137_1	30	+	85583042	85583072	0	1	30	0	ENST00000451137	30	+	CCN1	0	85580984	-28.509832791487376	-15.56583309173584	-27.12979907989502	-28.509832791487376	0.6816666593154271	1	30	-17.305392024133887	-16.79341604116985	-29.80900001525879	1.5119001388549804	3.5039897354543506	3	878	1:85583072-85580984	[85583042]	[85583072]	[85583072]	[85583950]
1	87344796	87344931	ENST00000370544_1	135	+	87344796	87344931	0	1	135	0	ENST00000370544	135	+	LMO4	0	87332015	-3.3898222889337273	-1.5790814646968134	2.7133999824523927	1.0216999769210815	6.687829608828933	1	135	-18.882682235588746	-17.49115459908852	-7.85213348865509	4.573799932003022	2.799289813281195	3	3992	1:87344931-87332015	[87344796]	[87344931]	[87344931]	[87348923]
1	93137027	93137033	ENST00000370298_1	6	+	93137027	93137033	0	1	6	0	ENST00000370298	6	+	MTF2	0	93079526	1.0719999472300212	1.0719999472300212			4.765333294868469	1	6	-8.851989720871911	-7.191998043745789	-11.13553326924642	2.0651000529527663	6.200560449230076	1	2043	1:93137033-93079526	[93137027]	[93137033]	[93137033]	[93139076]
1	100974857	100974980	ENST00000357650_1	123	+	100974857	100974980	0	1	123	0	ENST00000357650	123	+	SLC30A7	0	100896262	-17.203000153952498	-17.203000153952498	-21.612800280253094	-10.293099975585937	1.4712926879737194	1	123	-23.50610614677814	-23.50610614677814	-20.01826666990916	2.399200027436018	0.5327011712459163	1	6777	1:100974980-100896262	[100974857]	[100974980]	[100974980]	[100981757]
1	108700020	108700062	ENST00000370025_1	42	+	108700020	108700062	0	1	42	0	ENST00000370025	42	+	PRPF38B	0	108692591	-10.254357003739901	-9.034999983651298	-18.558599758148194	-6.010099992156029	5.639595235919669	1	42	-14.613662568378752	-14.613662568378752	-11.014400132497151	5.935999870300293	2.196768847244824	2	2866	1:108700062-108692591	[108700020]	[108700062]	[108700062]	[108702928]
1	109094499	109094568	ENST00000338272_1	69	+	109094499	109094568	0	1	69	0	ENST00000338272	69	+	TMEM167B	0	109090872	-11.823956409226293	-11.823956409226293	-11.689599561691285	-6.356499963998795	2.2078116040717326	1	69	-22.468955618874915	-21.780501272845054	-12.008533414204916	-4.636600017547607	1.4889581575306288	3	2366	1:109094568-109090872	[109094499]	[109094568]	[109094568]	[109096934]
1	109237888	109238080	ENST00000234677_1	192	+	109237888	109238080	0	1	192	0	ENST00000234677	192	+	SARS1	0	109213992	-19.09029156016186	-18.942047094460577	-18.60353333155314	-7.745099687576294	0.41306250461821037	1	192	-20.882823539715186	-16.93514690329047	-19.19866689046224	-10.669699931144715	1.408039225741317	1	102	1:109238080-109213992	[109237888]	[109238080]	[109238080]	[109238182]
1	111460994	111461036	ENST00000369722_1	42	+	111460994	111461036	0	1	42	0	ENST00000369722	42	+	ATP5PB	0	111449541	-27.186166729245866	-7.5640001609211875	-51.96220041910807	-15.667033147811889	0.22861903688559929	1	42	-15.120383611059038	-15.120383611059038	-15.550666650136312	1.2369999885559082	0.15168442783748776	1	1737	1:111461036-111449541	[111460994]	[111461036]	[111461036]	[111462773]
1	116404444	116404633	ENST00000295598_1	189	+	116404444	116404633	0	1	189	0	ENST00000295598	189	+	ATP1A1	0	116373511	-9.389037236255943	-9.389037236255943	-15.105667022864024	1.2083999395370484	4.029788371599304	1	189	-10.462503657273366	-5.891957410155459	-16.90560008684794	1.9908998250961303	6.366936164802429	1	141	1:116404633-116373511	[116404444]	[116404633]	[116404633]	[116404774]
1	117959447	117959453	ENST00000349139_1	6	+	117959447	117959453	0	1	6	0	ENST00000349139	6	+	WDR3	0	117933319	-22.415499528249104	-12.721499919891357			1.0098333358764648	1	6	-21.807828920550616	-21.388237361680456	-19.353333353996277	12.515999794006348	0.002423192600738964	2	7090	1:117959453-117933319	[117959447]	[117959453]	[117959453]	[117966543]
1	120793820	120793868	ENST00000624419_1	48	+	120793820	120793868	0	1	48	0	ENST00000624419	48	+	NOTCH2NLR	0	120724177	-26.394416814049084	-22.837999902665615	-12.410266669591268	-21.362567035357156	0.6635238067246974	1	48	-24.909328597677604	-22.897670458188774	-15.924000024795532	6.592400009930134	0.9758860191053671	3	983	1:120793868-120724177	[120793820]	[120793868]	[120793868]	[120794851]
1	148749498	148749576	ENST00000322209_1	78	+	148749498	148749576	0	1	78	0	ENST00000322209	78	+	NUDT4B	0	148748952	NaN	NaN	NaN	NaN	0.44624359678262127	1	78	-5.701000213623047	0.7080000042915344	NaN	NaN	1.1779508190285544	2	2839	1:148749576-148748952	[148749498]	[148749576]	[148749576]	[148752415]
1	149851506	149851512	ENST00000607355_1	6	+	149851506	149851512	0	1	6	0	ENST00000607355	6	+	H2AC19	0	149851113	-31.89699935913086	-9.260165929794312			-1.2053333794077237	1	6	-13.512276405566617	-12.575328834747014	-5.576888985104031	-7.342500321567059	0.09864634753591041	2	82	1:149851512-149851113	[149851506]	[149851512]	[149851512]	[149851594]
1	150279738	150280900	ENST00000369099_1	69	+	150279738	150280900	0	2	3,66	0,1096	ENST00000369099	1162	+	C1orf54	0	150272817	-6.041999816894531	-0.3636666138966878			5.945999940236409	1	6	-21.361093236635064	-19.367624434892562	-26.998799959818523	-2.473699963092804	0.44192048453773364	3	1175	1:150280900-150272817	[150279738, 150279738]	[150279741, 150279741]	[150279741]	[150280916]
1	150352979	150353180	ENST00000324862_1	201	+	150352979	150353180	0	1	201	0	ENST00000324862	201	+	PRPF3	0	150324942	-13.963378126459633	-13.963378126459633	9.026333044966062	-3.4937000393867494	2.1021840823397264	1	201	-12.489415056300613	-12.489415056300613	-4.266599977016449	-8.391300004720687	3.451962289734269	3	53	1:150353180-150324942	[150352979]	[150353180]	[150353180]	[150353233]
1	151267343	151267376	ENST00000368884_1	33	+	151267343	151267376	0	1	33	0	ENST00000368884	33	+	PSMD4	0	151254782	-20.71418205174533	-20.71418205174533	-5.135866641998291	-20.90806691646576	0.17615151614176505	1	33	-21.51913585361925	-21.51913585361925	-34.22826674779256	-12.15730024576187	0.6423899921961129	2	103	1:151267376-151254782	[151267343]	[151267376]	[151267376]	[151267479]
1	151401829	151401919	ENST00000290541_1	90	+	151401829	151401919	0	1	90	0	ENST00000290541	90	+	PSMB4	0	151399587	-28.546455531650118	-16.449822308785386	-28.769199180603028	-19.59453336397807	1.7782777727064158	1	90	-34.54900089899699	-25.31255594889323	-29.9936009089152		1.5102222501300275	1	18	1:151401919-151399587	[151401829]	[151401919]	[151401919]	[151401937]
1	151694417	151694498	ENST00000458013_1	81	+	151694417	151694498	0	1	81	0	ENST00000458013	81	+	SNX27	0	151612201	-20.222296238681416	-14.956074176011262	-19.546866246064504	-8.33816667397817	2.391333311198302	1	81	-18.594138891140265	-18.150880074019934	-8.747000257174173	7.579999923706055	1.3136289562761616	2	4582	1:151694498-151612201	[151694417]	[151694498]	[151694498]	[151699080]
1	153645269	153645290	ENST00000368694_1	21	+	153645269	153645290	0	1	21	0	ENST00000368694	21	+	CHTOP	0	153636588	-18.94033350263323	-10.593142781938825	-18.837066904703775		0.780380947870158	1	21	-24.380942533600447	-22.160743500218533	-16.072599792480467	-5.532499915361404	1.0619458644592439	3	1016	1:153645290-153636588	[153645269]	[153645290]	[153645290]	[153646306]
1	154275701	154275710	ENST00000328703_1	9	+	154275701	154275710	0	1	9	0	ENST00000328703	9	+	HAX1	0	154272723	-13.520221791333622	-10.89466667175293			1.1302222394280963	1	9	-20.990593874093257	-20.52498776334705	-18.935466639200847	0.4895998239517212	1.4533151516069969	1	165	1:154275710-154272723	[154275701]	[154275710]	[154275710]	[154275875]
1	156058371	156058449	ENST00000368305_1	78	+	156058371	156058449	0	1	78	0	ENST00000368305	78	+	LAMTOR2	0	156054889	-29.899192882845036	-26.78296141861341	-61.39500122070312	-16.846900129318236	0.4297307718736239	1	78	-26.933315929613617	-26.933315929613617	-14.188799476623535	-22.751200675964355	1.4261578662941854	1	57	1:156058449-156054889	[156058371]	[156058449]	[156058449]	[156058506]
1	160213486	160213603	ENST00000360472_1	117	+	160213486	160213603	0	1	117	0	ENST00000360472	117	+	PEA15	0	160211544	-11.304914521674315	-7.932718016016177	-1.7601999759674072	0.5441999912261963	4.175538446085575	1	117	-17.686007346348273	-16.481195896574942	-8.508466545740763	8.426299953460694	2.0539338622426344	3	1769	1:160213603-160211544	[160213486]	[160213603]	[160213603]	[160215372]
1	161158492	161158567	ENST00000368003_1	75	+	161158492	161158567	0	1	75	0	ENST00000368003	75	+	UFC1	0	161153997	-19.752360159556073	-19.752360159556073	-10.354066721598308	-16.459900045394896	1.1503200073664388	1	75	-22.672550272364106	-22.672550272364106	-17.58679962158203	-11.105899953842163	0.8874221518442396	2	289	1:161158567-161153997	[161158492]	[161158567]	[161158567]	[161158856]
