translon_id	chrom	start	end	strand	transcript_id	exonic_length	blockCount	flank_size	flank_type	feature_n_bases	feature_mean	feature_median	feature_std	feature_min	feature_max	upstream_n_bases	upstream_mean	upstream_median	upstream_std	upstream_min	upstream_max	downstream_n_bases	downstream_mean	downstream_median	downstream_std	downstream_min	downstream_max	conservation_specificity
c1norep25	chr1	3069194	3069290	+	ENST00000511072	96	1	150	exonic	96	5.648948	6.274	3.0775661	-1.588	10.104	150	6.271827220916748	6.61299991607666	2.525721549987793	-1.6690000295639038	10.154000282287598	150	2.0453203	1.6905	2.2017534	-5.446	9.98	-0.6228790283203125
c1riboseqorf11	chr1	3611300	3611351	-	ENST00000356575	51	1	150	exonic	51	0.76082355	0.288	1.7544773	-4.362	4.781	147	-0.12540817260742188	-0.11800000071525574	1.591062068939209	-4.552999973297119	6.833000183105469	150	0.98409325	0.5655	1.9615884	-5.122	9.099	-0.22326970100402832
c1riboseqorf12	chr1	3856991	3857192	-	ENST00000378230	201	1	150	exonic	201	0.38858208	0.168	1.742002	-4.973	7.137	150	-0.10386665165424347	-0.34850001335144043	2.527557611465454	-6.298999786376953	10.406999588012695	150	-1.0099	-0.5735	1.7753376	-10.795	2.689	0.49244874715805054
c1riboseqorf13	chr1	3891001	3892889	-	ENST00000361605	63	2	150	exonic	1888	-0.67691314	-0.352	1.806955	-9.549	11.18	150	1.41403329372406	0.44850000739097595	3.726242780685425	-11.081999778747559	10.925999641418457	150	-0.30659324	-0.278	3.318982	-20.0	9.333	-2.0909464359283447
c1norep26	chr1	3900576	3914534	+	ENST00000442673	195	2	150	exonic	13830	-0.9002444	-0.479	1.8645337	-20.0	10.577	133	-0.6894210577011108	-0.4300000071525574	1.2816601991653442	-6.848999977111816	1.5779999494552612	150	-0.7347133	-0.3815	1.4761994	-5.535	2.216	-0.21082335710525513
c1riboseqorf14	chr1	6026409	6040558	+	ENST00000428161	78	2	150	exonic	13841	-0.67958945	-0.33	1.5863256	-14.75	11.409	150	-0.18069997429847717	-0.11299999803304672	1.7946263551712036	-5.9039998054504395	6.511000156402588	150	3.3411067	1.403	4.797922	-10.289	11.546	-4.02069616317749
c1norep27	chr1	6224757	6224955	-	ENST00000343813	198	1	150	exonic	198	0.04622731	0.17699999	2.544415	-14.463	7.148	150	1.0542466640472412	0.7035000324249268	3.1469919681549072	-8.89900016784668	11.076000213623047	150	-0.21531329	-0.112	2.0218856	-6.34	8.178	-1.0080193281173706
c1riboseqorf15	chr1	6254974	6260964	-	ENST00000377893	180	2	150	exonic	5983	-0.25246564	-0.11	1.5685425	-13.239	9.647	150	0.9768000245094299	0.590999960899353	1.8555225133895874	-6.8429999351501465	7.335999965667725	150	3.08272	2.8404999	4.8639913	-20.0	11.586	-3.3351857662200928
c1norep28	chr1	6477590	6491658	-	ENST00000377728	90	2	150	exonic	13897	-0.3755495	-0.214	1.598588	-13.269	11.412	150	0.19619333744049072	0.16600000858306885	1.1188148260116577	-4.433000087738037	2.9749999046325684	150	1.4505534	0.38	4.3992605	-20.0	11.442	-1.8261029720306396
c1norep29	chr1	6785550	6820212	+	ENST00000303635	57	2	150	exonic	33873	0.28440723	0.076	1.7184246	-20.0	11.778	150	7.085246562957764	7.588500022888184	2.7717363834381104	-1.1380000114440918	10.779999732971191	150	3.9887533	3.6964998	3.607246	-2.158	11.383	-6.800839424133301
c1norep30	chr1	7784768	7784819	+	ENST00000361923	51	1	150	exonic	51	-0.12313729	0.037	2.0865843	-9.152	4.969	150	-0.32381999492645264	-0.17949999868869781	1.6212632656097412	-4.697000026702881	9.583000183105469	150	-0.07771333	-0.0545	1.8693951	-7.178	5.651	-0.0454239547252655
c1riboseqorf16	chr1	8015671	8026199	-	ENST00000377482	63	2	150	exonic	10518	0.34970957	0.053	2.3516433	-15.256	11.738	150	1.9319665431976318	1.375	3.171109676361084	-5.989999771118164	10.939000129699707	150	2.48034	1.0799999	4.2910504	-9.51	11.816	-2.1306304931640625
c1norep31	chr1	8878807	8879026	-	ENST00000645609	218	1	150	exonic	218	-0.309789	-0.21700001	2.4051163	-9.611	10.384	150	1.1921732425689697	0.6204999685287476	2.805713176727295	-8.482000350952148	10.437999725341797	150	-0.5181533	-0.22	3.038763	-12.212	8.24	-1.5019621849060059
c1riboseqorf17	chr1	9681068	9687423	-	ENST00000415330	156	2	150	exonic	6265	-0.2910394	-0.14	1.2387803	-8.918	10.044	150	-0.6250866651535034	-0.2615000009536743	1.3392894268035889	-5.611000061035156	3.444999933242798	150	-0.2576067	-0.0955	1.2505721	-6.486	3.324	-0.033432722091674805
c1norep32	chr1	9691489	9691724	+	ENST00000484851	132	2	150	exonic	235	0.5759999	0.237	1.906863	-5.204	9.269	146	0.528027355670929	0.27250000834465027	1.7105621099472046	-4.7870001792907715	5.861000061035156	150	-0.33087334	-0.0535	1.8068243	-8.483	4.522	0.04797255992889404
c1riboseqorf18	chr1	9691489	9710446	+	ENST00000377346	105	2	150	exonic	18554	-0.418634	-0.177	1.3891194	-13.501	11.545	146	0.528027355670929	0.27250000834465027	1.7105621099472046	-4.7870001792907715	5.861000061035156	150	5.589113	6.915	4.805166	-12.467	11.678	-6.007747173309326
c1norep33	chr1	9910253	9910319	-	ENST00000400904	66	1	150	exonic	66	4.690712	4.3995	2.8956113	-0.022	10.868	150	0.5297732949256897	0.2680000066757202	2.3438150882720947	-4.835000038146973	9.428999900817871	138	3.3258333	3.2715	2.519615	-1.531	10.722	1.3648786544799805
c1riboseqorf19	chr1	9942630	9942735	-	ENST00000377213	105	1	150	exonic	105	0.3174381	0.339	1.7738849	-8.512	4.029	150	0.17671996355056763	0.09399999678134918	1.4683130979537964	-3.8389999866485596	7.711999893188477	150	0.37255332	0.114999995	1.8729218	-6.032	6.921	-0.0551152229309082
c1riboseqorf20	chr1	10430849	10431044	+	ENST00000477755	195	1	150	exonic	195	-0.8368923	-0.453	1.4057405	-7.026	4.332	150	-0.702853262424469	-0.3320000171661377	2.0284082889556885	-7.006999969482422	5.769999980926514	150	-0.7496467	-0.5625	1.3495264	-6.324	3.119	-0.134039044380188
c1riboseqorf21	chr1	11655337	11655580	+	ENST00000376770	243	1	150	exonic	243	-0.37960908	-0.226	1.499818	-7.834	4.715	150	-0.04068000987172127	0.02850000001490116	1.345901370048523	-6.2230000495910645	6.0879998207092285	150	-0.13666667	-0.0575	1.0082518	-2.986	3.124	-0.33892905712127686
c1norep34	chr1	11805068	11805161	-	ENST00000413656	93	1	150	exonic	93	-0.5460323	-0.207	1.6460694	-9.345	2.453	150	-0.21354667842388153	-0.03500000014901161	1.4355807304382324	-7.164000034332275	2.806999921798706	150	-0.3800534	-0.207	1.368919	-5.502	3.197	-0.3324856162071228
c1norep35	chr1	11805145	11805286	-	ENST00000413656	141	1	150	exonic	141	-0.18951772	-0.029	1.3854421	-6.525	2.807	150	-0.37335336208343506	-0.08949999511241913	1.5898431539535522	-8.270999908447266	3.3980000019073486	150	-0.5423333	-0.23799999	1.6435336	-9.345	3.197	0.18383564054965973
c1norep36	chr1	12261089	12261945	+	ENST00000620676	105	2	150	exonic	852	0.24127579	-0.0555	2.9296396	-15.955	11.899	150	4.411933422088623	4.9639997482299805	5.149080753326416	-13.505999565124512	11.888999938964844	150	3.5588598	3.9380002	5.1158376	-13.319	11.917	-4.170657634735107
c1norep37	chr1	14390711	14391083	-	ENST00000670776	368	1	150	exonic	368	-0.3902799	-0.189	1.1259159	-7.35	3.251	150	-0.5648266673088074	-0.36149999499320984	1.2309303283691406	-5.879000186920166	2.73799991607666	143	-0.44227973	-0.301	1.2222258	-5.041	3.301	0.051999837160110474
c1norep38	chr1	14390711	14391490	-	ENST00000657979	72	2	150	exonic	775	-0.45394713	-0.234	1.1536964	-8.532	3.251	150	-0.15573334693908691	-0.15000000596046448	1.1138644218444824	-4.585999965667725	4.285999774932861	143	-0.44227973	-0.301	1.2222258	-5.041	3.301	-0.29821377992630005
c1norep39	chr1	14419745	14419961	-	ENST00000657979	216	1	150	exonic	216	-0.39118978	0.144	1.0108429	-7.335	0.187	150	-0.13126666843891144	0.14399999380111694	0.746471643447876	-3.0929999351501465	0.18700000643730164	150	-0.10876667	0.144	0.6607625	-3.173	0.187	-0.28242310881614685
c1norep40	chr1	14777573	14777687	-	ENST00000666715	114	1	150	exonic	114	-0.69410527	-0.382	1.4233512	-8.891	1.869	150	-0.06376664340496063	-0.04500000178813934	0.8205520510673523	-4.269999980926514	1.309999942779541	150	-1.11806	-0.68799996	1.4632754	-5.116	2.717	-0.6303386092185974
c1riboseqorf22	chr1	15210513	15215025	+	ENST00000434578	177	2	150	exonic	4500	-0.33930847	-0.167	1.8141507	-12.631	11.182	150	-0.18846669793128967	-0.1915000081062317	1.5812699794769287	-7.046999931335449	7.5970001220703125	150	3.1774669	1.9535	5.6099396	-14.375	11.773	-3.516775369644165
c1norep41	chr1	15758215	15758269	+	ENST00000375771	54	1	150	exonic	54	0.1954074	0.131	1.5161698	-4.884	4.635	150	-0.4625600278377533	-0.16100001335144043	1.2299542427062988	-5.521999835968018	3.181999921798706	150	-0.15623999	-0.058	1.6079516	-9.983	4.808	0.35164737701416016
c1riboseqorf23	chr1	15835391	15835550	-	ENST00000317122	159	1	150	exonic	159	-0.15460375	-0.049	1.5150441	-5.792	5.483	150	0.1919533610343933	0.12049999833106995	1.5410685539245605	-7.540999889373779	4.866000175476074	150	-0.44082	-0.25550002	1.0357045	-4.045	2.435	-0.3465571105480194
c1riboseqorf24	chr1	15835657	15835828	-	ENST00000317122	171	1	150	exonic	171	0.88914037	0.307	2.3589149	-4.294	10.834	142	1.025887370109558	0.15950000286102295	2.7427902221679688	-9.026000022888184	11.123000144958496	150	0.103186674	0.076000005	1.6380595	-7.541	4.866	-0.13674700260162354
c1riboseqorf25	chr1	15847903	15848005	+	ENST00000375759	102	1	150	exonic	102	5.1572156	5.2215004	3.2108264	-0.681	10.93	150	5.939947128295898	5.739500045776367	3.102935791015625	-0.5019999742507935	10.67199993133545	150	6.69386	7.1879997	3.4771042	-0.012	11.114	-1.536644458770752
c1riboseqorf26	chr1	15973039	15975989	-	ENST00000375743	93	2	150	exonic	2949	-0.4416575	-0.145	2.4674008	-20.0	9.611	150	3.234713077545166	2.611999988555908	3.4966931343078613	-6.283999919891357	11.616000175476074	150	-0.0684867	0.047	2.1134255	-13.742	5.207	-3.676370620727539
c1riboseqorf27	chr1	15976019	15976076	-	ENST00000375743	57	1	150	exonic	57	3.598281	2.148	3.6366796	-0.681	11.614	150	0.8773465752601624	0.40149998664855957	4.435632228851318	-15.654000282287598	11.616000175476074	150	1.5032533	0.92550004	2.6552422	-5.45	9.611	2.095027446746826
c1norep42	chr1	16205865	16206048	-	ENST00000441785	183	1	150	exonic	183	3.758847	2.656	5.04428	-13.35	11.842	150	2.0192267894744873	0.6464999914169312	3.7202415466308594	-8.762999534606934	11.230999946594238	150	-0.1974733	-0.067	1.0867466	-5.426	3.936	1.7396202087402344
c1norep43	chr1	16212502	16212604	-	ENST00000270747	102	1	150	exonic	102	3.640167	3.602	2.447799	-0.546	10.999	150	4.710460186004639	4.4160003662109375	3.324699640274048	-7.383999824523926	11.82800006866455	150	1.9091331	1.12	2.8481543	-4.068	10.89	-1.0702931880950928
c1riboseqorf28	chr1	16236837	16236942	-	ENST00000375599	105	1	150	exonic	105	-0.9535523	-0.328	1.6865773	-10.087	1.485	150	-0.24914000928401947	-0.06300000101327896	1.3257606029510498	-7.2179999351501465	2.6679999828338623	150	1.1991934	0.39999998	3.466315	-9.447	11.453	-2.1527457237243652
c1norep44	chr1	16305913	16315423	-	ENST00000375592	261	2	150	exonic	9177	-0.12232798	-0.095	1.7188411	-20.0	11.767	150	0.3277733027935028	0.17000000178813934	2.115623712539673	-7.578999996185303	7.9120001792907715	150	5.0948267	5.765	4.6125627	-6.798	11.607	-5.217154502868652
c1riboseqorf29	chr1	16395156	16395234	+	ENST00000401088	78	1	150	exonic	78	3.5449743	3.3404999	4.1128836	-7.361	11.884	150	5.4120330810546875	5.927499771118164	4.508659362792969	-20.0	11.826000213623047	150	5.8882666	6.0055	3.4822178	-1.4	11.889	-2.343292236328125
c1riboseqorf30	chr1	16395303	16395468	+	ENST00000401088	165	1	150	exonic	165	4.6711454	4.609	3.265344	-2.055	11.889	150	5.246880054473877	5.548000335693359	3.9813876152038574	-7.361000061035156	11.88599967956543	150	4.6841803	4.1555	3.3593166	-3.433	11.892	-0.5757346153259277
c1riboseqorf31	chr1	16395734	16395932	+	ENST00000401088	198	1	150	exonic	198	3.457273	2.8484998	2.7610846	-2.233	11.793	150	4.9085869789123535	4.9105000495910645	3.1007747650146484	-1.6959999799728394	11.786999702453613	150	2.5380468	1.862	2.578297	-2.833	11.745	-1.4513139724731445
c1riboseqorf32	chr1	16608532	16608640	-	ENST00000430580	108	1	150	exonic	108	-1.6843332	-0.871	2.3202739	-12.247	0.838	150	-1.3942333459854126	-0.5799999833106995	2.179762840270996	-9.979999542236328	2.0299999713897705	150	-1.2109067	-0.6985	2.0351584	-13.428	1.967	-0.4734264612197876
c1riboseqorf33	chr1	19240259	19240445	+	ENST00000437898	186	1	150	exonic	186	3.1660593	2.5385	4.897153	-20.0	11.843	150	-0.06722667813301086	0.023499999195337296	1.3461534976959229	-4.703999996185303	3.6519999504089355	150	-0.43842	-0.117	2.0788412	-10.519	7.886	3.233285903930664
c1riboseqorf34	chr1	19312641	19312800	+	ENST00000375153	159	1	150	exonic	159	1.2085912	0.75	1.8521634	-2.247	8.549	150	-0.17776666581630707	-0.04999999701976776	1.2853938341140747	-5.160999774932861	4.900000095367432	150	0.018793333	-0.023	1.2454082	-4.219	3.919	1.1897978782653809
c1norep45	chr1	19975454	19975613	-	ENST00000375111	159	1	150	exonic	159	-1.0052515	-0.447	1.9194405	-7.231	4.861	150	-2.8460867404937744	-0.8550000190734863	5.1251983642578125	-20.0	5.767000198364258	143	-0.77164334	-0.467	1.9554417	-12.961	6.497	-0.2336081862449646
c1norep46	chr1	20070336	20070438	+	ENST00000375108	102	1	150	exonic	102	-0.15963724	0.0405	1.738394	-7.682	3.336	150	-0.5657132863998413	-0.28200000524520874	1.944022297859192	-9.434000015258789	5.25	150	0.17806672	0.013	2.1398697	-6.615	9.773	-0.3377039432525635
c1norep47	chr1	20184598	20186426	-	ENST00000442226	93	2	150	exonic	1822	-0.34355384	-0.192	1.9413528	-9.131	10.352	150	0.28697332739830017	0.15700000524520874	1.5176247358322144	-5.142000198364258	5.324999809265137	150	-0.37316	-0.014999999	1.3842933	-6.894	1.84	-0.630527138710022
c1riboseqorf35	chr1	21002738	21050891	-	ENST00000264211	96	2	150	exonic	45815	0.07416088	0.036	1.3574017	-15.256	11.907	150	4.728280067443848	4.450500011444092	4.165827751159668	-6.728000164031982	11.657999992370605	150	2.6199133	1.14	3.7366297	-3.249	11.907	-4.65411901473999
c1norep48	chr1	21175723	21175945	-	ENST00000634778	221	1	150	exonic	221	0.88351583	0.507	1.5666476	-3.588	7.245	150	0.7947466969490051	0.6714999675750732	1.704424500465393	-8.717000007629395	5.611999988555908	150	2.1104999	1.6470001	2.4202957	-2.635	11.106	-1.2269840240478516
c1norep49	chr1	21294192	21298062	+	ENST00000449034	54	2	150	exonic	3841	-0.21960582	-0.083	1.5442712	-10.685	5.722	150	-0.3870199918746948	-0.14550000429153442	1.6178033351898193	-7.943999767303467	4.380000114440918	150	-0.5025667	-0.2065	1.3030167	-9.084	4.643	0.16741417348384857
c1norep50	chr1	21440310	21444996	+	ENST00000454000	87	2	150	exonic	4560	-0.4770351	-0.082499996	2.0350127	-20.0	5.726	150	-0.28413334488868713	0.0495000034570694	2.0207741260528564	-14.463000297546387	3.0850000381469727	150	-1.4494267	-0.943	1.978483	-12.448	2.277	-0.19290176033973694
c1norep51	chr1	22024172	22024235	-	ENST00000455966	63	1	150	exonic	63	-0.19361904	0.157	1.3022841	-4.323	1.945	150	0.1285933256149292	0.1340000033378601	1.1395624876022339	-7.502999782562256	5.046000003814697	150	-0.05709999	-0.1035	1.3946971	-5.348	4.07	-0.3222123682498932
c1riboseqorf36	chr1	22030368	22030485	+	ENST00000416769	117	1	150	exonic	117	0.23687176	0.133	1.748766	-8.427	5.616	150	0.8420000672340393	0.5640000104904175	1.2232810258865356	-3.3469998836517334	5.702000141143799	150	0.7263733	0.5475	1.767599	-6.862	5.821	-0.605128288269043
c1riboseqorf37	chr1	23094263	23109024	-	ENST00000471849	120	2	150	exonic	14364	0.011301438	0.025	1.3915029	-10.401	11.37	150	1.1105599403381348	0.5900000333786011	2.1854395866394043	-7.5269999504089355	7.315000057220459	150	5.08638	5.4355	4.129113	-7.131	11.917	-5.07507848739624
c1riboseqorf38	chr1	23094325	23094376	-	ENST00000302291	51	1	150	exonic	51	3.2334118	2.47	2.7039692	-0.907	9.396	150	0.6768666505813599	0.35500001907348633	2.065119504928589	-8.734999656677246	8.085000038146973	150	3.3547266	2.7115	3.6296558	-5.512	11.917	-0.12131476402282715
