chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	transcript_id	region_length	strand_cds	gene_name	cds_frame	cds_end_pos	matched_frame_score	max_frame_score	start_region_score	window_max_score	phylop_mean	extension_frame	extension_length	genome_coords
1	54218249	54218273	ENST00000360840_1	24	+	54218249	54218273	0	1	24	0	ENST00000360840	24	+	MRPL37	0	54218246	-18.753916521867115	-18.753916521867115	-20.261199506123862		0.24558333129486223	1	24	1:54218249-54218273
1	54741513	54741798	ENST00000371281_1	285	+	54741513	54741798	0	1	285	0	ENST00000371281	285	+	TTC4	0	54741510	-26.255463254530177	-21.157407028424114	-45.457400703430174	-10.340399885177613	0.08784561417425019	1	285	1:54741513-54741798
1	62450981	62451062	ENST00000339950_1	81	+	62450981	62451062	0	1	81	0	ENST00000339950	81	+	USP1	0	62450978	-18.28317258350643	-14.928506177148702	-7.909933398167293	-12.04273331463337	2.4479506142138514	1	81	1:62450981-62451062
1	66984900	66984948	ENST00000401041_1	48	+	66984900	66984948	0	1	48	0	ENST00000401041	48	+	MIER1	0	66984897	-14.74743751436472	-13.656312565008799	-22.146599674224852	-10.623400127887725	3.0959166982211173	1	48	1:66984900-66984948
1	70250805	70250871	ENST00000370949_1	66	+	70250805	70250871	0	1	66	0	ENST00000370949	66	+	SRSF11	0	70250802	-13.187772718342869	-13.187772718342869	-18.579600238800047	-0.364499831199646	1.7695757553094265	1	66	1:70250805-70250871
1	84497470	84497527	ENST00000370654_1	57	+	84497470	84497527	0	1	57	0	ENST00000370654	57	+	RPF1	0	84497467	-31.31945594988371	-21.901105274233903	-33.55400021870931	-25.368099689483643	0.9162807094684818	1	57	1:84497470-84497527
1	85583042	85583072	ENST00000451137_1	30	+	85583042	85583072	0	1	30	0	ENST00000451137	30	+	CCN1	0	85583039	-28.509832791487376	-15.56583309173584	-27.12979907989502	-28.509832791487376	0.6816666593154271	1	30	1:85583042-85583072
1	87344796	87344931	ENST00000370544_1	135	+	87344796	87344931	0	1	135	0	ENST00000370544	135	+	LMO4	0	87344793	-3.3898222889337273	-1.5790814646968134	2.7133999824523927	1.0216999769210815	6.687829608828933	1	135	1:87344796-87344931
1	93137027	93137033	ENST00000370298_1	6	+	93137027	93137033	0	1	6	0	ENST00000370298	6	+	MTF2	0	93137024	1.0719999472300212	1.0719999472300212	1.0719999472300212		4.765333294868469	1	6	1:93137027-93137033
1	100974857	100974980	ENST00000357650_1	123	+	100974857	100974980	0	1	123	0	ENST00000357650	123	+	SLC30A7	0	100974854	-17.203000153952498	-17.203000153952498	-21.612800280253094	-10.293099975585937	1.4712926879737194	1	123	1:100974857-100974980
1	108700020	108700062	ENST00000370025_1	42	+	108700020	108700062	0	1	42	0	ENST00000370025	42	+	PRPF38B	0	108700017	-10.254357003739901	-9.034999983651298	-18.558599758148194	-6.010099992156029	5.639595235919669	1	42	1:108700020-108700062
1	109094499	109094568	ENST00000338272_1	69	+	109094499	109094568	0	1	69	0	ENST00000338272	69	+	TMEM167B	0	109094496	-11.823956409226293	-11.823956409226293	-11.689599561691285	-6.356499963998795	2.2078116040717326	1	69	1:109094499-109094568
1	109237888	109238080	ENST00000234677_1	192	+	109237888	109238080	0	1	192	0	ENST00000234677	192	+	SARS1	0	109237885	-19.09029156016186	-18.942047094460577	-18.60353333155314	-7.745099687576294	0.41306250461821037	1	192	1:109237888-109238080
1	111460994	111461036	ENST00000369722_1	42	+	111460994	111461036	0	1	42	0	ENST00000369722	42	+	ATP5PB	0	111460991	-27.186166729245866	-7.5640001609211875	-51.96220041910807	-15.667033147811889	0.22861903688559929	1	42	1:111460994-111461036
1	116404444	116404633	ENST00000295598_1	189	+	116404444	116404633	0	1	189	0	ENST00000295598	189	+	ATP1A1	0	116404441	-9.389037236255943	-9.389037236255943	-15.105667022864024	1.2083999395370484	4.029788371599304	1	189	1:116404444-116404633
1	117959447	117959453	ENST00000349139_1	6	+	117959447	117959453	0	1	6	0	ENST00000349139	6	+	WDR3	0	117959444	-22.415499528249104	-12.721499919891357	-22.415499528249104		1.0098333358764648	1	6	1:117959447-117959453
1	120793820	120793868	ENST00000624419_1	48	+	120793820	120793868	0	1	48	0	ENST00000624419	48	+	NOTCH2NLR	0	120793817	-26.394416814049084	-22.837999902665615	-12.410266669591268	-21.362567035357156	0.6635238067246974	1	48	1:120793820-120793868
1	148749498	148749576	ENST00000322209_1	78	+	148749498	148749576	0	1	78	0	ENST00000322209	78	+	NUDT4B	0	148749495	NaN	NaN	NaN	NaN	0.44624359678262127	1	78	1:148749498-148749576
1	149851506	149851512	ENST00000607355_1	6	+	149851506	149851512	0	1	6	0	ENST00000607355	6	+	H2AC19	0	149851503	-31.89699935913086	-9.260165929794312	-31.89699935913086		-1.2053333794077237	1	6	1:149851506-149851512
1	150279738	150280900	ENST00000369099_1	69	+	150279738	150280900	0	2	3,66	0,1096	ENST00000369099	1162	+	C1orf54	0	150279735	-20.86264983690021	-19.522880854791143	-7.2036669810613	-1.0054999589920044	0.4255515735749468	2	1162	1:150279738-150280900
1	150352979	150353180	ENST00000324862_1	201	+	150352979	150353180	0	1	201	0	ENST00000324862	201	+	PRPF3	0	150352976	-13.963378126459633	-13.963378126459633	9.026333044966062	-3.4937000393867494	2.1021840823397264	1	201	1:150352979-150353180
1	151267343	151267376	ENST00000368884_1	33	+	151267343	151267376	0	1	33	0	ENST00000368884	33	+	PSMD4	0	151267340	-20.71418205174533	-20.71418205174533	-5.135866641998291	-20.90806691646576	0.17615151614176505	1	33	1:151267343-151267376
1	151401829	151401919	ENST00000290541_1	90	+	151401829	151401919	0	1	90	0	ENST00000290541	90	+	PSMB4	0	151401826	-28.546455531650118	-16.449822308785386	-28.769199180603028	-19.59453336397807	1.7782777727064158	1	90	1:151401829-151401919
1	151694417	151694498	ENST00000458013_1	81	+	151694417	151694498	0	1	81	0	ENST00000458013	81	+	SNX27	0	151694414	-20.222296238681416	-14.956074176011262	-19.546866246064504	-8.33816667397817	2.391333311198302	1	81	1:151694417-151694498
1	153645269	153645290	ENST00000368694_1	21	+	153645269	153645290	0	1	21	0	ENST00000368694	21	+	CHTOP	0	153645266	-18.94033350263323	-10.593142781938825	-18.837066904703775		0.780380947870158	1	21	1:153645269-153645290
1	154275701	154275710	ENST00000328703_1	9	+	154275701	154275710	0	1	9	0	ENST00000328703	9	+	HAX1	0	154275698	-13.520221791333622	-10.89466667175293	-13.520221791333622		1.1302222394280963	1	9	1:154275701-154275710
1	156058371	156058449	ENST00000368305_1	78	+	156058371	156058449	0	1	78	0	ENST00000368305	78	+	LAMTOR2	0	156058368	-29.899192882845036	-26.78296141861341	-61.39500122070312	-16.846900129318236	0.4297307718736239	1	78	1:156058371-156058449
1	160213486	160213603	ENST00000360472_1	117	+	160213486	160213603	0	1	117	0	ENST00000360472	117	+	PEA15	0	160213483	-11.304914521674315	-7.932718016016177	-1.7601999759674072	0.5441999912261963	4.175538446085575	1	117	1:160213486-160213603
1	161158492	161158567	ENST00000368003_1	75	+	161158492	161158567	0	1	75	0	ENST00000368003	75	+	UFC1	0	161158489	-19.752360159556073	-19.752360159556073	-10.354066721598308	-16.459900045394896	1.1503200073664388	1	75	1:161158492-161158567
1	163355469	163355496	ENST00000271452_1	27	+	163355469	163355496	0	1	27	0	ENST00000271452	27	+	NUF2	0	163355466	-21.433111164304947	-21.433111164304947	-19.348200368881226		-0.8774444455349887	1	27	1:163355469-163355496
1	165655504	165655522	ENST00000367889_1	18	+	165655504	165655522	0	1	18	0	ENST00000367889	18	+	MGST3	0	165655501	-15.310221989949545	-15.310221989949545	-14.540732955932617		-0.3427777849137783	1	18	1:165655504-165655522
1	165907823	165907946	ENST00000367879_1	123	+	165907823	165907946	0	1	123	0	ENST00000367879	123	+	UCK2	0	165907820	-13.814755983650684	-13.814755983650684	-7.955466429392497	-7.617000126838684	1.1489430858007805	1	123	1:165907823-165907946
1	168242540	168242732	ENST00000271375_1	192	+	168242540	168242732	0	1	192	0	ENST00000271375	192	+	SFT2D2	0	168242537	-26.354609234025702	-18.693109313646953	-14.091200002034505	-16.12019966840744	0.3247291697268035	1	192	1:168242540-168242732
1	171591847	171592024	ENST00000647382_1	177	+	171591847	171592024	0	1	177	0	ENST00000647382	177	+	PRRC2C	0	171591844	-13.150796739310868	-13.150796739310868	-14.496466938654581	-5.42610005736351	1.4157796639470268	1	177	1:171591847-171592024
1	173487863	173487938	ENST00000340385_1	75	+	173487863	173487938	0	1	75	0	ENST00000340385	75	+	PRDX6	0	173487860	-22.31325322151184	-13.295200043916703	-32.95019931793213	-13.96760003566742	-0.0615466729303201	1	75	1:173487863-173487938
1	175010079	175010112	ENST00000367679_1	33	+	175010079	175010112	0	1	33	0	ENST00000367679	33	+	CACYBP	0	175010076	-19.450099766254425	-18.881667023897172	-22.580799770355224	-18.291444155904983	1.623393956120267	1	33	1:175010079-175010112
1	181089886	181090072	ENST00000367577_1	186	+	181089886	181090072	0	1	186	0	ENST00000367577	186	+	IER5	0	181089883	-14.481236628467038	-14.057419450893518	-18.31933347384135	-0.06819970607757568	1.0778763397316378	1	186	1:181089886-181090072
1	183142790	183142799	ENST00000258341_1	9	+	183142790	183142799	0	1	9	0	ENST00000258341	9	+	LAMC1	0	183142787	-22.359555138481987	-16.65511163075765	-22.359555138481987		-1.2760000233021047	1	9	1:183142790-183142799
1	184619556	184619601	ENST00000235307_1	45	+	184619556	184619601	0	1	45	0	ENST00000235307	45	+	C1orf21	0	184619553	-9.662533537546794	-2.3730221649010974	-15.181200218200683	-6.9032001972198485	4.467644446094831	1	45	1:184619556-184619601
1	193250712	193250799	ENST00000367435_1	87	+	193250712	193250799	0	1	87	0	ENST00000367435	87	+	CDC73	0	193250709	-14.753965607234116	-14.014977042359867	-33.8378005027771	-0.7888999201357365	2.9717931134262305	1	87	1:193250712-193250799
1	201969554	201969674	ENST00000367287_1	120	+	201969554	201969674	0	1	120	0	ENST00000367287	120	+	TIMM17A	0	201969551	-17.057008404036363	-17.057008404036363	-18.030999898910522	-5.908699989318848	0.6074999951427648	1	120	1:201969554-201969674
1	202005716	202005908	ENST00000295640_1	192	+	202005716	202005908	0	1	192	0	ENST00000295640	192	+	RNPEP	0	202005713	-25.00995311839506	-20.920156308449805	-14.334799798329671	-12.030699968338013	-0.5900239548004583	1	192	1:202005716-202005908
1	203852399	203852408	ENST00000367210_1	9	+	203852399	203852408	0	1	9	0	ENST00000367210	9	+	ZC3H11A	0	203852396	-3.581110874811808	-3.581110874811808	-3.581110874811808		2.3481111062897577	1	9	1:203852399-203852408
1	203869932	203869938	ENST00000414487_1	6	+	203869932	203869938	0	1	6	0	ENST00000414487	6	+	SNRPE	0	203869929	-11.399499654769897	-2.7350000043710074	-11.399499654769897		2.0913333646021783	1	6	1:203869932-203869938
1	207790304	207793591	ENST00000367042_1	114	+	207790304	207793591	0	2	41,73	0,3214	ENST00000367042	3287	+	CD46	0	207790301	-21.878368461281397	-20.525660838362793	-21.007799482345582	-0.3630000054836273	-0.39773425908545806	3	3287	1:207790304-207793591
1	212446006	212446042	ENST00000366988_1	36	+	212446006	212446042	0	1	36	0	ENST00000366988	36	+	NENF	0	212446003	-34.19213903612561	-19.148305422729916	-42.72786598205566	-33.02950050830841	-1.23355558504247	1	36	1:212446006-212446042
1	212619555	212619594	ENST00000341491_1	39	+	212619555	212619594	0	1	39	0	ENST00000341491	39	+	ATF3	0	212619552	-15.928615478368906	-15.928615478368906	-12.03920087814331	-9.001400470733643	2.2095128091482015	1	39	1:212619555-212619594
1	218331091	218331154	ENST00000366932_1	63	+	218331091	218331154	0	1	63	0	ENST00000366932	63	+	RRP15	0	218331088	-34.79126998734853	-16.16230170357795	-25.16306694348653	-30.79100022315979	-0.7295396776781196	1	63	1:218331091-218331154
1	223774857	223774869	ENST00000295006_1	12	+	223774857	223774869	0	1	12	0	ENST00000295006	12	+	CAPN2	0	223774854	-33.493250355124474	-0.2628331979115804	-33.493250355124474		-0.27783332982410985	1	12	1:223774857-223774869
1	224192478	224192547	ENST00000323699_1	69	+	224192478	224192547	0	1	69	0	ENST00000323699	69	+	DEGS1	0	224192475	-20.52843493482341	-20.52843493482341	-5.068199872970581	-18.51960027217865	-0.42791303778674616	1	69	1:224192478-224192547
1	224375822	224375843	ENST00000465271_1	21	+	224375822	224375843	0	1	21	0	ENST00000465271	21	+	CNIH4	0	224375819	-21.786761692592076	-19.959285463605607	-17.45699971516927		1.7388571202754974	1	21	1:224375822-224375843
1	226071479	226071566	ENST00000366815_1	87	+	226071479	226071566	0	1	87	0	ENST00000366815	87	+	H3-3A	0	226071476	-7.501045923123415	-7.501045923123415	-11.414266840616863	1.305199964841207	4.39795402570055	1	87	1:226071479-226071566
1	230997263	231000181	ENST00000310256_1	48	+	230997263	231000181	0	2	4,44	0,2874	ENST00000310256	2918	+	ARV1	0	230997260	-19.563172214588615	-18.89144838061658	-12.896199893951415	2.39300004641215	-0.8433506268312997	3	2918	1:230997263-231000181
1	231564905	231564929	ENST00000366639_1	24	+	231564905	231564929	0	1	24	0	ENST00000366639	24	+	TSNAX	0	231564902	-16.90874997029702	-15.467375248670578	-19.383399951457978		-0.34224999882280827	1	24	1:231564905-231564929
1	232978231	232978258	ENST00000366628_1	27	+	232978231	232978258	0	1	27	0	ENST00000366628	27	+	NTPCR	0	232978228	-29.247777815218324	-28.965370443132187	-30.679933547973633		-0.7739259211553468	1	27	1:232978231-232978258
1	1311768	1311858	ENST00000435064_1	90	-	1311768	1311858	0	1	90	0	ENST00000435064	90	-	INTS11	0	1311861								1:1311768-1311858
1	1373764	1373800	ENST00000338338_1	36	-	1373764	1373800	0	1	36	0	ENST00000338338	36	-	AURKAIP1	0	1373803								1:1373764-1373800
1	1787321	1787330	ENST00000378609_1	9	-	1787321	1787330	0	1	9	0	ENST00000378609	9	-	GNB1	0	1787333								1:1787321-1787330
1	2189552	2189708	ENST00000378546_1	156	-	2189552	2189708	0	1	156	0	ENST00000378546	156	-	FAAP20	0	2189711								1:2189552-2189708
1	3780928	3781087	ENST00000378251_1	159	-	3780928	3781087	0	1	159	0	ENST00000378251	159	-	LRRC47	0	3781090								1:3780928-3781087
1	6186458	6186671	ENST00000234875_1	213	-	6186458	6186671	0	1	213	0	ENST00000234875	213	-	RPL22	0	6186674								1:6186458-6186671
1	6224968	6225079	ENST00000343813_1	111	-	6224968	6225079	0	1	111	0	ENST00000343813	111	-	ICMT	0	6225082								1:6224968-6225079
1	6264563	6264596	ENST00000361521_1	33	-	6264563	6264596	0	1	33	0	ENST00000361521	33	-	ACOT7	0	6264599								1:6264563-6264596
1	8861248	8861359	ENST00000234590_1	111	-	8861248	8861359	0	1	111	0	ENST00000234590	111	-	ENO1	0	8861362								1:8861248-8861359
1	10461438	10461489	ENST00000377038_1	51	-	10461438	10461489	0	1	51	0	ENST00000377038	51	-	DFFA	0	10461492								1:10461438-10461489
1	11674714	11674774	ENST00000376692_1	60	-	11674714	11674774	0	1	60	0	ENST00000376692	60	-	MAD2L2	0	11674777								1:11674714-11674774
1	17408963	17409089	ENST00000375436_1	126	-	17408963	17409089	0	1	126	0	ENST00000375436	126	-	RCC2	0	17409092								1:17408963-17409089
1	20500665	20500689	ENST00000264198_1	24	-	20500665	20500689	0	1	24	0	ENST00000264198	24	-	MUL1	0	20500692								1:20500665-20500689
1	20652243	20652378	ENST00000602624_1	135	-	20652243	20652378	0	1	135	0	ENST00000602624	135	-	DDOST	0	20652381								1:20652243-20652378
1	23310405	23310453	ENST00000302271_1	48	-	23310405	23310453	0	1	48	0	ENST00000302271	48	-	HNRNPR	0	23310456								1:23310405-23310453
1	23558287	23558959	ENST00000374561_1	153	-	23558287	23558959	0	2	128,25	0,647	ENST00000374561	672	-	ID3	0	23558962								1:23558287-23558959
1	23970997	23971141	ENST00000492112_1	144	-	23970997	23971141	0	1	144	0	ENST00000492112	144	-	SRSF10	0	23971144								1:23970997-23971141
1	25223235	25223265	ENST00000236273_1	30	-	25223235	25223265	0	1	30	0	ENST00000236273	30	-	SYF2	0	25223268								1:25223235-25223265
1	25900907	25901015	ENST00000455785_1	108	-	25900907	25901015	0	1	108	0	ENST00000455785	108	-	STMN1	0	25901018								1:25900907-25901015
1	27666341	27666380	ENST00000361157_1	39	-	27666341	27666380	0	1	39	0	ENST00000361157	39	-	IFI6	0	27666383								1:27666341-27666380
1	28603484	28603538	ENST00000373824_1	54	-	28603484	28603538	0	1	54	0	ENST00000373824	54	-	TAF12	0	28603541								1:28603484-28603538
1	30932997	30933210	ENST00000426105_1	213	-	30932997	30933210	0	1	213	0	ENST00000426105	213	-	PUM1	0	30933213								1:30932997-30933210
1	31260032	31260071	ENST00000263694_1	39	-	31260032	31260071	0	1	39	0	ENST00000263694	39	-	SNRNP40	0	31260074								1:31260032-31260071
1	31630492	31630612	ENST00000373703_1	120	-	31630492	31630612	0	1	120	0	ENST00000373703	120	-	PEF1	0	31630615								1:31630492-31630612
1	31908839	31908851	ENST00000647444_1	12	-	31908839	31908851	0	1	12	0	ENST00000647444	12	-	PTP4A2	0	31908854								1:31908839-31908851
1	32334392	32334596	ENST00000329421_1	204	-	32334392	32334596	0	1	204	0	ENST00000329421	204	-	MARCKSL1	0	32334599								1:32334392-32334596
1	32775944	32775980	ENST00000373477_1	36	-	32775944	32775980	0	1	36	0	ENST00000373477	36	-	YARS1	0	32775983								1:32775944-32775980
1	33013075	33013180	ENST00000672715_1	105	-	33013075	33013180	0	1	105	0	ENST00000672715	105	-	AK2	0	33013183								1:33013075-33013180
1	35184449	35184455	ENST00000357214_1	6	-	35184449	35184455	0	1	6	0	ENST00000357214	6	-	SFPQ	0	35184458								1:35184449-35184455
