chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	transcript_id	region_length	cds_strand	cds_gene_name	cds_frame	cds_start_pos	translated_matched_frame_score	translated_max_frame_score	translated_start_region_score	translated_window_max_score	translated_phylop_mean	translated_frame	translated_length	untranslated_matched_frame_score	untranslated_max_frame_score	untranslated_start_region_score	untranslated_window_max_score	untranslated_phylop_mean	untranslated_frame	untranslated_length	cds_matched_frame_score	cds_max_frame_score	cds_start_region_score	cds_window_max_score	cds_phylop_mean	cds_length	genome_coords	translated_block_starts	translated_block_ends	untranslated_block_starts	untranslated_block_ends	cds_block_starts	cds_block_ends
1	54218249	54218273	ENST00000360840_1	24	+	54218249	54218273	0	1	24	0	ENST00000360840	24	+	MRPL37		54200243	-24.032096870827363	-24.032096870827363	-25.484598791599275	-7.916599893569947	-0.382164186658164	3	134						1	0							1:54218249-54200243	[54218249]	[54218383]	[54218249]	[54218249]	[]	[]
1	54741513	54741798	ENST00000371281_1	285	+	54741513	54741798	0	1	285	0	ENST00000371281	285	+	TTC4		54715908	-24.359367170755366	-24.359367170755366	-28.115332984924315	-10.425200176239013	0.0022176569596362803	2	1144						1	0							1:54741513-54715908	[54741513]	[54742657]	[54741513]	[54741513]	[]	[]
1	62450981	62451062	ENST00000339950_1	81	+	62450981	62451062	0	1	81	0	ENST00000339950	81	+	USP1		62439867	-16.343085030956082	-16.16103768050399	-7.932933537165324	-1.4634999990463258	2.959445931731026	2	823						1	0							1:62450981-62439867	[62450981]	[62451804]	[62450981]	[62450981]	[]	[]
1	66984900	66984948	ENST00000401041_1	48	+	66984900	66984948	0	1	48	0	ENST00000401041	48	+	MIER1		66925028	-19.246353414177992	-18.637522130920985	-19.62259998321533	2.0697999730706216	2.267232146049698	3	3719						1	0							1:66984900-66925028	[66984900]	[66988619]	[66984900]	[66984900]	[]	[]
1	70250805	70250871	ENST00000370949_1	66	+	70250805	70250871	0	1	66	0	ENST00000370949	66	+	SRSF11		70221636	-15.204500657691044	-15.204500657691044	-18.579600238800047	4.859399938583374	2.803859816016534	1	2247						1	0							1:70250805-70221636	[70250805]	[70253052]	[70250805]	[70250805]	[]	[]
1	84497470	84497527	ENST00000370654_1	57	+	84497470	84497527	0	1	57	0	ENST00000370654	57	+	RPF1		84479281	-26.918446662041724	-24.804150838303524	-33.55400021870931	-10.244600105285645	0.3406382257439857	1	882						1	0							1:84497470-84479281	[84497470]	[84498352]	[84497470]	[84497470]	[]	[]
1	85583042	85583072	ENST00000451137_1	30	+	85583042	85583072	0	1	30	0	ENST00000451137	30	+	CCN1		85580984	-17.71652489468373	-17.181805546705235	-25.167000198364256	1.5119001388549804	3.410741175670025	3	908						1	0							1:85583042-85580984	[85583042]	[85583950]	[85583042]	[85583042]	[]	[]
1	87344796	87344931	ENST00000370544_1	135	+	87344796	87344931	0	1	135	0	ENST00000370544	135	+	LMO4		87332015	-18.31251232978684	-16.986398043167526	-2.5272666176160175	4.573799932003022	2.9270155729889673	3	4127						1	0							1:87344796-87332015	[87344796]	[87348923]	[87344796]	[87344796]	[]	[]
1	93137027	93137033	ENST00000370298_1	6	+	93137027	93137033	0	1	6	0	ENST00000370298	6	+	MTF2		93079526	-8.822929721843796	-7.209735970459188	-5.171999963124593	2.0651000529527663	6.19635773428319	1	2049						1	0							1:93137027-93079526	[93137027]	[93139076]	[93137027]	[93137027]	[]	[]
1	100974857	100974980	ENST00000357650_1	123	+	100974857	100974980	0	1	123	0	ENST00000357650	123	+	SLC30A7		100896262	-23.390219444667892	-23.390219444667892	-21.612800280253094	2.399200027436018	0.5495399630425207	1	6900						1	0							1:100974857-100896262	[100974857]	[100981757]	[100974857]	[100974857]	[]	[]
1	108700020	108700062	ENST00000370025_1	42	+	108700020	108700062	0	1	42	0	ENST00000370025	42	+	PRPF38B		108692591	-14.524843831245107	-14.524843831245107	-16.19259983698527	5.935999870300293	2.247665963867261	2	2908						1	0							1:108700020-108692591	[108700020]	[108702928]	[108700020]	[108700020]	[]	[]
1	109094499	109094568	ENST00000338272_1	69	+	109094499	109094568	0	1	69	0	ENST00000338272	69	+	TMEM167B		109090872	-22.233366730454275	-21.844572494349592	-17.426399993896485	-4.636600017547607	1.5093281319911365	3	2435						1	0							1:109094499-109090872	[109094499]	[109096934]	[109094499]	[109094499]	[]	[]
1	109237888	109238080	ENST00000234677_1	192	+	109237888	109238080	0	1	192	0	ENST00000234677	192	+	SARS1		109213992	-19.712190410210972	-18.245775599564826	-18.60353333155314	-7.745099687576294	0.7582585099058188	1	294						1	0							1:109237888-109213992	[109237888]	[109238182]	[109237888]	[109237888]	[]	[]
1	111460994	111461036	ENST00000369722_1	42	+	111460994	111461036	0	1	42	0	ENST00000369722	42	+	ATP5PB		111449541	-15.430900088365318	-15.430900088365318	-51.96220041910807	1.2369999885559082	0.15355112545737262	1	1779						1	0							1:111460994-111449541	[111460994]	[111462773]	[111460994]	[111460994]	[]	[]
1	116404444	116404633	ENST00000295598_1	189	+	116404444	116404633	0	1	189	0	ENST00000295598	189	+	ATP1A1		116373511	-9.847700161599752	-8.844394001308265	-15.105667022864024	1.9908998250961303	5.028387883240639	1	330						1	0							1:116404444-116373511	[116404444]	[116404774]	[116404444]	[116404444]	[]	[]
1	117959447	117959453	ENST00000349139_1	6	+	117959447	117959453	0	1	6	0	ENST00000349139	6	+	WDR3		117933319	-21.80621626778248	-21.378854390794363	-18.23893362681071	12.515999794006348	0.003287798645604413	2	7096						1	0							1:117959447-117933319	[117959447]	[117966543]	[117959447]	[117959447]	[]	[]
1	120793820	120793868	ENST00000624419_1	48	+	120793820	120793868	0	1	48	0	ENST00000624419	48	+	NOTCH2NLR		120724177	-25.205067128769272	-23.060942661575247	-38.33379936218262	6.592400009930134	0.9623888864716345	3	1031						1	0							1:120793820-120724177	[120793820]	[120794851]	[120793820]	[120793820]	[]	[]
1	148749498	148749576	ENST00000322209_1	78	+	148749498	148749576	0	1	78	0	ENST00000322209	78	+	NUDT4B		148748952	-5.701000213623047	0.7080000042915344	NaN	NaN	1.1581612339608767	2	2917						1	0							1:148749498-148748952	[148749498]	[148752415]	[148749498]	[148749498]	[]	[]
1	149851506	149851512	ENST00000607355_1	6	+	149851506	149851512	0	1	6	0	ENST00000607355	6	+	H2AC19		149851113	-13.20114637075401	-12.973743800709887	-7.932999720940223	-7.342500321567059	0.00973863888066262	2	88						1	0							1:149851506-149851113	[149851506]	[149851594]	[149851506]	[149851506]	[]	[]
1	150279738	150280900	ENST00000369099_1	69	+	150279738	150280900	0	2	3,66	0,1096	ENST00000369099	1162	+	C1orf54		150272817	-22.78899982957279	-21.683670529898475	-13.850733057657878	-20.392199540138243	2.2186353025190972	2	85						1	0							1:150279738-150272817	[150279738, 150280834]	[150279741, 150280916]	[150280834]	[150280834]	[]	[]
1	150352979	150353180	ENST00000324862_1	201	+	150352979	150353180	0	1	201	0	ENST00000324862	201	+	PRPF3		150324942	-17.520464547271803	-15.098633846957384	-25.870200061798094	-4.810400116443634	2.3838307161661465	3	254						1	0							1:150352979-150324942	[150352979]	[150353233]	[150352979]	[150352979]	[]	[]
1	151267343	151267376	ENST00000368884_1	33	+	151267343	151267376	0	1	33	0	ENST00000368884	33	+	PSMD4		151254782	-21.75803660206935	-21.75803660206935	-23.89879910151164	-12.15730024576187	0.52670676129541	2	136						1	0							1:151267343-151254782	[151267343]	[151267479]	[151267343]	[151267343]	[]	[]
1	151401829	151401919	ENST00000290541_1	90	+	151401829	151401919	0	1	90	0	ENST00000290541	90	+	PSMB4		151399587	-29.546879759541266	-17.92694458213669	-28.769199180603028	-16.55160012245178	1.7336018522770178	1	108						1	0							1:151401829-151399587	[151401829]	[151401937]	[151401829]	[151401829]	[]	[]
1	151694417	151694498	ENST00000458013_1	81	+	151694417	151694498	0	1	81	0	ENST00000458013	81	+	SNX27		151612201	-18.52502931282754	-18.23176423690642	-14.405466810862224	7.579999923706055	1.3330233248050871	2	4663						1	0							1:151694417-151612201	[151694417]	[151699080]	[151694417]	[151694417]	[]	[]
1	153645269	153645290	ENST00000368694_1	21	+	153645269	153645290	0	1	21	0	ENST00000368694	21	+	CHTOP		153636588	-24.100104711306663	-22.09514834022892	-9.589599990844727	-5.532499915361404	1.0562439712592722	3	1037						1	0							1:153645269-153636588	[153645269]	[153646306]	[153645269]	[153645269]	[]	[]
1	154275701	154275710	ENST00000328703_1	9	+	154275701	154275710	0	1	9	0	ENST00000328703	9	+	HAX1		154272723	-20.60419531808845	-20.60419531808845	-17.606266324718792	0.4895998239517212	1.4366034492529158	1	174						1	0							1:154275701-154272723	[154275701]	[154275875]	[154275701]	[154275701]	[]	[]
1	156058371	156058449	ENST00000368305_1	78	+	156058371	156058449	0	1	78	0	ENST00000368305	78	+	LAMTOR2		156054889	-28.64693372481399	-28.64693372481399	-61.39500122070312	-16.846900129318236	0.8504444339623054	1	135						1	0							1:156058371-156054889	[156058371]	[156058506]	[156058371]	[156058371]	[]	[]
1	160213486	160213603	ENST00000360472_1	117	+	160213486	160213603	0	1	117	0	ENST00000360472	117	+	PEA15		160211544	-17.22499205027771	-15.950037154129177	-14.270133304595948	8.426299953460694	2.1855498411978966	3	1886						1	0							1:160213486-160211544	[160213486]	[160215372]	[160213486]	[160213486]	[]	[]
1	161158492	161158567	ENST00000368003_1	75	+	161158492	161158567	0	1	75	0	ENST00000368003	75	+	UFC1		161153997	-22.254563246945757	-22.254563246945757	-21.1333997964859	-6.610499781370163	0.9415906660315059	2	364						1	0							1:161158492-161153997	[161158492]	[161158856]	[161158492]	[161158492]	[]	[]
1	163355469	163355496	ENST00000271452_1	27	+	163355469	163355496	0	1	27	0	ENST00000271452	27	+	NUF2		163326051	-30.909431139559583	-22.619075940909056	-29.449933179219563	-17.777999877929688	-0.052568966580619075	3	290						1	0							1:163355469-163326051	[163355469]	[163355759]	[163355469]	[163355469]	[]	[]
1	165655504	165655522	ENST00000367889_1	18	+	165655504	165655522	0	1	18	0	ENST00000367889	18	+	MGST3		165649847	-17.501187169162673	-17.501187169162673	-29.8233336130778	-5.140999873479207	-0.22201430768482328	3	632						1	0							1:165655504-165649847	[165655504]	[165656136]	[165655504]	[165655504]	[]	[]
1	165907823	165907946	ENST00000367879_1	123	+	165907823	165907946	0	1	123	0	ENST00000367879	123	+	UCK2		165827833	-22.875529041134346	-22.875529041134346	-7.955466429392497	-1.034699934720993	-0.022912124673505115	1	3795						1	0							1:165907823-165827833	[165907823]	[165911618]	[165907823]	[165907823]	[]	[]
1	168242540	168242732	ENST00000271375_1	192	+	168242540	168242732	0	1	192	0	ENST00000271375	192	+	SFT2D2		168226079	-23.359767236554962	-23.23255783252592	-37.4838005065918	5.841999888420105	-0.03332869973680074	3	10481						1	0							1:168242540-168226079	[168242540]	[168253021]	[168242540]	[168242540]	[]	[]
1	171591847	171592024	ENST00000647382_1	177	+	171591847	171592024	0	1	177	0	ENST00000647382	177	+	PRRC2C		171512088	-14.00632091436553	-13.782514424699071	-11.113600238164265	1.2543999552726746	2.6847318122344555	3	1664						1	0							1:171591847-171512088	[171591847]	[171593511]	[171591847]	[171591847]	[]	[]
1	173487863	173487938	ENST00000340385_1	75	+	173487863	173487938	0	1	75	0	ENST00000340385	75	+	PRDX6		173477397	-23.559014087512686	-22.586190307688067	-29.30586617787679	-7.392750050872564	0.32596157941487175	2	952						1	0							1:173487863-173477397	[173487863]	[173488815]	[173487863]	[173487863]	[]	[]
1	175010079	175010112	ENST00000367679_1	33	+	175010079	175010112	0	1	33	0	ENST00000367679	33	+	CACYBP		175000180	-20.59408084516747	-18.725667804077727	-18.414000594615935	4.374000072479248	0.2792184278830194	2	1948						1	0							1:175010079-175000180	[175010079]	[175012027]	[175010079]	[175010079]	[]	[]
1	181089886	181090072	ENST00000367577_1	186	+	181089886	181090072	0	1	186	0	ENST00000367577	186	+	IER5		181088902	-19.466154598057965	-18.846919413998883	-15.232266569137574	12.846200084686279	1.4048105222577367	3	3014						1	0							1:181089886-181088902	[181089886]	[181092900]	[181089886]	[181089886]	[]	[]
1	183142790	183142799	ENST00000258341_1	9	+	183142790	183142799	0	1	9	0	ENST00000258341	9	+	LAMC1		183023716	-17.61572753253279	-17.39736666301646	-13.942599614461264	1.939700047671795	1.5786413245922988	1	2802						1	0							1:183142790-183023716	[183142790]	[183145592]	[183142790]	[183142790]	[]	[]
1	184619556	184619601	ENST00000235307_1	45	+	184619556	184619601	0	1	45	0	ENST00000235307	45	+	C1orf21		184477509	-22.5879718220045	-21.80237461675953	-15.289266713460286	5.065299808979034	0.7021252794628475	2	9463						1	0							1:184619556-184477509	[184619556]	[184629019]	[184619556]	[184619556]	[]	[]
1	193250712	193250799	ENST00000367435_1	87	+	193250712	193250799	0	1	87	0	ENST00000367435	87	+	CDC73		193122200	-22.190040565585843	-22.049775513046107	-25.095199871063233	-1.6555000305175782	1.946348179400695	3	4103						1	0							1:193250712-193122200	[193250712]	[193254815]	[193250712]	[193250712]	[]	[]
1	201969554	201969674	ENST00000367287_1	120	+	201969554	201969674	0	1	120	0	ENST00000367287	120	+	TIMM17A		201955526	-20.131070261196914	-20.131070261196914	-18.030999898910522	-3.2714000165462496	0.35882702499160307	1	1110						1	0							1:201969554-201955526	[201969554]	[201970664]	[201969554]	[201969554]	[]	[]
1	202005716	202005908	ENST00000295640_1	192	+	202005716	202005908	0	1	192	0	ENST00000295640	192	+	RNPEP		201982666	-21.75927633117771	-20.647592534365643	-40.1377337773641	-6.065400044247508	-0.27979898371238443	2	427						1	0							1:202005716-201982666	[202005716]	[202006143]	[202005716]	[202005716]	[]	[]
1	203852399	203852408	ENST00000367210_1	9	+	203852399	203852408	0	1	9	0	ENST00000367210	9	+	ZC3H11A		203817070	-14.251505507235079	-14.251505507235079	-8.606466468175253	0.2523997962474823	3.0508440590454806	1	1725						1	0							1:203852399-203817070	[203852399]	[203854124]	[203852399]	[203852399]	[]	[]
1	203869932	203869938	ENST00000414487_1	6	+	203869932	203869938	0	1	6	0	ENST00000414487	6	+	SNRPE		203861659	-25.848155393039434	-24.42740166966544	-30.003466749191283	-5.961599969863892	0.20229568102039658	3	1220						1	0							1:203869932-203861659	[203869932]	[203871152]	[203869932]	[203869932]	[]	[]
1	207790304	207793591	ENST00000367042_1	114	+	207790304	207793591	0	2	41,73	0,3214	ENST00000367042	3287	+	CD46		207752212	-25.686606934575536	-24.815248147695886	-21.007799482345582	-8.726300079375505	-0.5268179568398094	3	2027						1	0							1:207790304-207752212	[207790304, 207793518]	[207790345, 207795504]	[207793518]	[207793518]	[]	[]
